Unnamed: 0,Title,Author,Cleaned Goodreads URL
119071,"""a problem from hell""",samantha power,23530.A_Problem_from_Hell
234967,"""death of a salesman"" by arthur miller",peter spalding,481568.Death_Of_A_Salesman_By_Arthur_Miller
230378,"""diane..."" - the twin peaks tapes of agent cooper",scott frost,298029._Diane_The_Twin_Peaks_Tapes_of_Agent_Cooper
316735,"""et kuitenkaan usko..."" – ville haapasalon varhaisvuodet venäjällä",ville haapasalo,18660691-et-kuitenkaan-usko---ville-haapasalon-varhaisvuodet-ven-j-ll
316734,"""et muuten tätäkään usko..."" - ville haapasalon 2000-luku venäjällä",ville haapasalo,23255961-et-muuten-t-t-k-n-usko---ville-haapasalon-2000-luku-ven-j-ll
212845,"""exterminate all the brutes""",sven lindqvist,909011._Exterminate_All_the_Brutes_
170341,"""i'm not sleepy!""",jonathan allen,8073462-i-m-not-sleepy
124042,"""why is this night different from all other nights?""",lemony snicket,27014053-why-is-this-night-different-from-all-other-nights
156189,"""yellow kid"" weil",j.r. weil,8232205-yellow-kid-weil
232217,#88 love life,diana rikasari,23415260-88-love-life
354169,#aboutlove,tere liye,25927130-aboutlove
345881,#askgaryvee,gary vaynerchuk,28379942-askgaryvee
364193,#bae,cambria hebert,30968750-bae
93201,#bleue,florence hinckel,24622977-bleue
364169,#blur,cambria hebert,32856045-blur
364161,#finishline,cambria hebert,34384215-finishline
268385,#forfeit,caroline batten,23120221-forfeit
96610,#girlboss,sophia amoruso,25242346-girlboss
364234,#hater,cambria hebert,23561961-hater
364230,#heart,cambria hebert,27463724-heart
210894,#jerk,kat t. masen,26832123-jerk
344927,#junkie,cambria hebert,27824473-junkie
54251,#murdertrending,gretchen mcneil,34521785-murdertrending
6968,#nerd,cambria hebert,23493256-nerd
364233,#player,cambria hebert,25096438-player
364231,#poser,cambria hebert,25784226-poser
364228,#rev,cambria hebert,31190423-rev
364232,#selfie,cambria hebert,25210301-selfie
364227,#swag,cambria hebert,30725337-swag
354046,"#ya tuhan, desain grafis, deadline, doa.",adityayoga,32855646-ya-tuhan-desain-grafis-deadline-doa
354045,"#ya tuhan, kamu, aku, doa.",adityayoga,32855641-ya-tuhan-kamu-aku-doa
354164,"#ya tuhan, lapar, gosong, doa.",adityayoga,32855634-ya-tuhan-lapar-gosong-doa
354047,"#ya tuhan, monas, macet, doa.",adityayoga,32855622-ya-tuhan-monas-macet-doa
354048,"#ya tuhan, ponsel, .3gp, doa.",adityayoga,32855655-ya-tuhan-ponsel-3gp-doa
43571,#zombie,al k. line,20937055-zombie
182405,& sons,david gilbert,16041879-sons
162719,'art',yasmina reza,10341607-art
195615,'in the beginning...' a catholic understanding of the story of creation and the fall,pope benedict xvi,260815._In_the_Beginning_A_Catholic_Understanding_of_the_Story_of_Creation_and_the_Fall
205489,'scuse me while i kill this guy,leslie langtry,18881218-scuse-me-while-i-kill-this-guy
133068,'til death,sp edwards,28307982-til-death
99405,'til death,s.c. stephens,25427645-til-death
14781,'til death do us part,kate white,1106298._Til_Death_Do_Us_Part
171743,'til death do us part,amanda quick,29967879-til-death-do-us-part
364123,'til dirt do us part,edith maxwell,22106710-til-dirt-do-us-part
200936,'till death do us part,mark tufo,16106485-till-death-do-us-part
30155,'tis,frank mccourt,376610._Tis
74372,'tis pity she's a whore,john ford,1042903._Tis_Pity_She_s_a_Whore
375742,'tis the season,robyn carr,25259296-tis-the-season
268464,'tis the season,angelia rourke,23873173-tis-the-season
26396,'toons for our times,berkeley breathed,133030._Toons_for_Our_Times
77086,(don't you) forget about me,kate karyus quinn,18820442-don-t-you-forget-about-me
138931,(un)like a virgin,lucy-anne holmes,11168547-un-like-a-virgin
111343,(un)skirting the issues,bonnie fetch,36194432-un-skirting-the-issues
78434,(watch me) break you,avril ashton,24981943-watch-me-save-you
208691,+anima 1,natsumi mukai,750129._Anima_1
379244,+anima 2,natsumi mukai,750130._Anima_2
379243,+anima 3,natsumi mukai,750134._Anima_3
379242,+anima 4,natsumi mukai,750131._Anima_4
379241,+anima 5,natsumi mukai,1437991._Anima_5
379240,+anima 6,natsumi mukai,750133._Anima_6
379239,+anima 7,natsumi mukai,1819031._Anima_7
379238,+anima 8,natsumi mukai,2304194._Anima_8
379237,+anima 9,natsumi mukai,6108762-anima-9
150211,... e venne chiamata due cuori,marlo morgan,10290245-e-venne-chiamata-due-cuori
65334,...and a happy new year?,holly bourne,30360631-and-a-happy-new-year
227380,...and ladies of the club,helen hooven santmyer,1129107.And_Ladies_of_the_Club
26339,...and now miguel,joseph krumgold,1116616._And_Now_Miguel
226879,...გუგულის ბუდეზე სხვა გადაფრინდა,ken kesey,6372155
379233,".hack//legend of the twilight, vol. 3",rei izumi,2384185._hack_Legend_of_the_Twilight_Band_2
217469,0.4,mike a. lancaster,11281533-0-4
138452,1 peter,jen wilkin,18634010-1-peter
375490,1+1,augusto alvarenga,30349510-1-1
142503,"1,000 artist journal pages",dawn devries sokol,2329246.1_000_Artist_Journal_Pages
375273,"1,001 best slow-cooker recipes",sue spitler,17794279-1-001-best-slow-cooker-recipes
375300,"1,001 low-carb recipes",dana carpender,11378887-1001-low-carb-recipes
80701,"1,001 old-time household hints",yankee magazine,9537688-1-001-old-time-household-hints
195475,1-2-3 magic,thomas w. phelan,1936266.1_2_3_Magic
398652,1-2-3 magic for teachers,thomas w. phelan,28755326-1-2-3-magic-teen
170399,1-2-3 peas,keith baker,15782916-1-2-3-peas
43428,Jan-86,annelie wendeberg,23434176-1-2986
270022,1/4 جرام,essam youssef,3692091-1-4
3383,10,ben lerner,20605522-10
72127,10 dates,emily james,35162183-10-dates
85281,10 days in a madhouse,nellie bly,3475243-10-days-in-a-madhouse
231567,10 hours to live,brian wills,17921172-10-hours-to-live
152249,10 most common questions asked by christians about islam,zakir naik,2286874.10_Most_Common_Questions_Asked_by_Christians_About_Islam
