Original Ordering,Unnamed: 0,Title,Author,Cleaned Goodreads URL,Number of Dupes
22682,95339,harry potter,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22686,313137,harry potter 5 zakon feniksa br w.2023,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22687,313136,harry potter 6 ksiaze polkrwi br w.2023,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22688,98859,harry potter a kámen mudrců,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22690,184930,harry potter and la coupe de feu,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22692,1093,harry potter and the chamber of secrets,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22695,11797,harry potter and the cursed child,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22699,2545,harry potter and the deathly hallows,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22700,168508,"harry potter and the deathly hallows (harry potter, book 7)",j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22701,3924,harry potter and the goblet of fire,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22702,3922,harry potter and the half-blood prince,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22705,3923,harry potter and the order of the phoenix,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22707,16385,harry potter and the philosopher's stone,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22708,33870,harry potter and the philosopher’s stone,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22709,2549,harry potter and the prisoner of azkaban,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22711,1094,harry potter and the sorcerer's stone,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22712,6887,harry potter and the sorcerer’s stone,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22713,176934,harry potter box set,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22714,6507,"harry potter boxed set, books 1-5",j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22715,270069,harry potter collection,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22716,375551,harry potter e a câmara dos segredos,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22717,15112,harry potter e a câmara secreta,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22718,15111,harry potter e a ordem da fênix,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22719,15110,harry potter e a pedra filosofal,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22720,15128,harry potter e as relíquias da morte,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22721,184201,harry potter e i doni della morte,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22722,184204,harry potter e il calice di fuoco,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22723,184205,harry potter e il prigioniero di azkaban,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22724,150214,harry potter e il prigioniero di azkaban (italian edition of harry potter and the prisoner of azkaban) by j. k. rowling (2000) hardcover,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22725,184202,harry potter e il principe mezzosangue,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22726,184203,harry potter e l'ordine della fenice,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22727,184206,harry potter e la camera dei segreti,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22729,184207,harry potter e la pietra filosofale,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22730,15109,harry potter e o cálice de fogo,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
22731,15108,harry potter e o enigma do príncipe,j.k. rowling,27421523-harry-potter-and-the-sorcerer-s-stone,82
