Unnamed: 0,Title,Author,Cleaned Goodreads URL
193799,midnight predator,amelia atwater-rhodes,1039178.Midnight_Predator
166442,midnight promises,sherryl woods,13261493-midnight-promises
322905,midnight pursuits,elle kennedy,21864194-midnight-pursuits
79981,midnight rainbow,linda howard,26830112-midnight-rainbow
354841,midnight rambler,james swain,5227066-midnight-rambler
233721,midnight reckoning,rebecca deel,24670476-midnight-reckoning
233719,midnight rendezvous,rebecca deel,26134730-midnight-rendezvous
322914,midnight rescue,elle kennedy,13648085-midnight-rescue
322906,midnight revenge,elle kennedy,25682667-midnight-revenge
50308,midnight riot,ben aaronovitch,35503162-midnight-riot
99641,midnight rising,tony horwitz,11680503-midnight-rising
149057,midnight sacrifice,melinda leigh,17883467-midnight-sacrifice
384947,midnight scandals,courtney milan,16209405-midnight-scandals
190317,midnight sins,lora leigh,11139434-midnight-sins
367696,midnight star,karpov kinrade,30130875-midnight-star
1348,midnight sun,stephenie meyer,4502877-midnight-sun
385041,midnight sun's magic,betty neels,859335.Midnight_Sun_s_Magic
322904,midnight target,elle kennedy,31396263-midnight-target
32853,midnight tides,steven erikson,11859025-midnight-tides
166243,midnight whispers,v.c. andrews,563462.Midnight_Whispers
385456,midnight without a moon,linda williams jackson,30046854-midnight-without-a-moon
202837,midnight's children,salman rushdie,879891.Midnight_s_Children
390417,midnight's choice,kate thompson,3796658-midnight-s-choice
364615,midnight's daughter,karen chance,8065085-midnight-s-daughter
343666,midnight's emissary,t.a. white,33929303-midnight-s-emissary
167684,"midnighter, vol. 1",garth ennis,2535072.Midnighter_Vol_1
113154,midnights with the mystic,cheryl simone,2415630.Midnights_with_the_Mystic
25308,midnight’s children,salman rushdie,879891.Midnight_s_Children
61347,midshipman henry gallant in space,h. peter alesso,17699313-midshipman-henry-gallant-in-space
370432,midshipman's hope,david feintuch,974311.Midshipman_s_Hope
79565,midsummer magic,catherine coulter,2072307.Midsummer_Magic
129658,midwife of normandy,carole penfield,32827668-midwife-of-normandy
112579,midwife of the blue ridge,christine blevins,2709531-midwife-of-the-blue-ridge
60861,midwinter break,bernard maclaverty,35202995-midwinter-break
197086,midwinter sacrifice,mons kallentoft,12240132-midwinter-sacrifice
394051,midwinter sun,carol ervin,23280040-midwinter-sun
318685,midwinterblood,marcus sedgwick,10836471-midwinterblood
5494,midwives,chris bohjalian,5039320-midwives
15537,midworld,alan dean foster,939615.Midworld
41525,miecz przeznaczenia,andrzej sapkowski,1128437.Miecz_przeznaczenia
224789,mientras agonizo,william faulkner,531560.Mientras_agonizo
191368,mifongin aika,j.s. meresmaa,17702745-mifongin-aika
191374,mifongin kadottama,j.s. meresmaa,31176171-mifongin-kadottama
191370,mifongin mahti,j.s. meresmaa,23165824-mifongin-mahti
191367,mifongin perintö,j.s. meresmaa,13648614-mifongin-perint
236970,mig før dig,jojo moyes,16300093-mig-f-r-dig
282503,might's karma,stephani hecht,20687442-might-s-karma
40825,mightier than the sword,jeffrey archer,24370637-mightier-than-the-sword
100899,mighty jack,ben hatke,31847064-mighty-jack
100898,mighty jack and the goblin king,ben hatke,33163367-mighty-jack-and-the-goblin-king
355249,"mighty morphin power rangers, vol. 1",kyle higgins,32051546-mighty-morphin-power-rangers-vol-1
170497,migrant,maxine trottier,9560457-migrant
84338,migritude,shailja patel,9070287-migritude
317000,miia martikaisen kärsimysviikko,nelli hietala,30011121-miia-martikaisen-k-rsimysviikko
190292,mikayla,dixie lynn dwyer,15725177-mikayla
4071,mike mulligan and his steam shovel,virginia lee burton,538686.Mike_Mulligan_and_His_Steam_Shovel
144033,mike mulligan and more,virginia lee burton,30940.Mike_Mulligan_and_More
3833,mike's mystery,gertrude chandler warner,156884.Mike_s_Mystery
378309,"mike, mike & me",wendy markham,82760.Mike_Mike_Me
33803,mil soles espléndidos,khaled hosseini,8345510-mil-soles-espl-ndidos
23109,mila 18,leon uris,13432172-mila-18
392,mila 2.0,debra driza,15819259-mila-2-0
162477,milat,clive small,22040357-milat
72212,milayna,michelle k. pickett,17737994-milayna
106437,mildred pierce,james m. cain,13151295-mildred-pierce
209871,mile 81,stephen king,12070846-mile-81
72785,mile high,r.k. lilley,32453666-mile-high
260089,mile markers,kristin armstrong,10322662-mile-markers
322670,milea,pidi baiq,31359829-milea
6496,milena o el fémur más bello del mundo,jorge zepeda patterson,23493791-milena-o-el-f-mur-m-s-bello-del-mundo
74556,milena'ya mektuplar,franz kafka,29365651-milena-ya-mektuplar
366328,miles,paige north,33239061-miles
79191,miles,miles davis,125443.Miles
184742,miles from nowhere,nami mun,2895061-miles-from-nowhere
73245,miles morales,brian michael bendis,22259476-miles-morales
348318,miles morales,jason reynolds,35218652-miles-morales
158063,miles to go,richard paul evans,9566896-miles-to-go
313917,miles to go,miley cyrus,7136567-miles-to-go
142067,milf,erin noelle,30627663-milf
129518,military man,marie ferrarella,13506720-military-man
411,milk and honey,rupi kaur,35721757-milk-and-honey
361913,milk and honey,faye kellerman,425082.Milk_and_Honey
168149,milk in my coffee,eric jerome dickey,339697.Milk_in_my_Coffee
250996,milk run,nathan lowell,31687501-milk-run
64035,milkweed,jerry spinelli,2241264.Milkweed
89014,mille baisers pour un garçon,tillie cole,32586015-mille-baisers-pour-un-gar-on
192330,mille plateaux,gilles deleuze,490438.Mille_plateaux
305930,mille splendidi soli,khaled hosseini,25248552-mille-splendidi-soli
132872,millennium,john varley,1872344.Millennium
73499,millennium,tom holland,5574571-millennium
100712,"millennium snow, vol. 1",bisco hatori,484167.Millennium_Snow_Vol_1
93424,"millennium snow, vol. 2",bisco hatori,247178.Millennium_Snow_Vol_2
109386,miller's valley,anna quindlen,26131641-miller-s-valley
217722,millicent and the wind,robert munsch,285768.Millicent_and_the_Wind
95179,millie marottas animal kingdom,millie marotta,23104283-millie-marotta-s-animal-kingdom
233894,millie marries a marshal,linda k. hubalek*,23578451-millie-marries-a-marshal
109957,millie's fling,jill mansell,42002.Millie_s_Fling
190283,millie's second chance,dixie lynn dwyer,15853027-millie-s-second-chance
22962,million dollar arm,j.b. bernstein,20448717-million-dollar-arm
244393,million dollar baby,f.x. toole,1073574.Million_Dollar_Baby
254457,million-dollar throw,mike lupica,8139574-million-dollar-throw
24969,millionaire teacher,andrew hallam,33268187-millionaire-teacher
322901,millionaire's last stand,elle kennedy,12111659-millionaire-s-last-stand
175120,millions,pepper winters,34614478-millions
167990,millroy the magician,paul theroux,131094.Millroy_the_Magician
239269,milly-molly-mandy stories,joyce lankester brisley,8111310-milly-molly-mandy-stories
358661,milton friedman,alan ebenstein,97821.Milton_Friedman
305422,milton hershey,m.m. eboch,4218755-milton-hershey
153345,miluj bližního svého,erich maria remarque,13449409-miluj-bli-n-ho-sv-ho
238839,milwaukee,bernice rubens,5448790-milwaukee
167752,mimesis,andrej nikolaidis,7725601-mimesis
351545,mimicry of banshees,g.k. parks,21823810-mimicry-of-banshees
354218,miminlicious,@divapress01,24503794-miminlicious
30610,mimosa grove,dinah mccall,25234862-mimosa-grove
216634,mimsy were the borogoves,lewis padgett,13318644-mimsy-were-the-borogoves
209042,min afsked med islamismen,ahmed akkari,21855891-min-afsked-med-islamismen
214277,min fantastiska väninna,elena ferrante,27834741-min-fantastiska-v-ninna
71151,minaret,leila aboulela,1751470.Minaret
266310,mince pies and mistletoe at the christmas market,heidi swain,33014491-mince-pies-and-mistletoe-at-the-christmas-market
134164,mind as machine,margaret a. boden,390526.Mind_as_Machine
295351,mind assassin,vaughn heppner,16147700-mind-assassin
298637,mind breaths,allen ginsberg,154380.Mind_Breaths
63148,mind control,stephen king,30129810-mind-control
144933,mind game,ben rehder,18515039-mind-game
363526,mind game,iris johansen,34875010-mind-game
51763,mind game,christine feehan,6583493-mind-game
283582,mind games,teri terry,35159559-mind-games
294815,mind games,carolyn crane,6890220-mind-games
226312,mind games,pamela kole,24343521-mind-games
76910,mind games,kiersten white,15819456-mind-games
2888,mind hunter,john e. douglas,94337.Mind_Hunter
36721,mind of my mind,octavia e. butler,26084055-mind-of-my-mind
148497,mind over mood,dennis greenberger,108380.Mind_Over_Mood
197881,mind platter,najwa zebian,28860166-mind-platter
376541,mind power into the 21st century,john kehoe,17669585-mind-power-into-the-21st-century
51315,mind prey,john sandford,6985324-mind-prey
50249,mind slide,glenn bullion,12237298-mind-slide
294925,"mind the gap, volume 1",jim mccann,16098198-mind-the-gap-volume-1
375800,mind tryst,robyn carr,19241348-mind-tryst
376729,mind's eye,douglas e. richards,20570023-mind-s-eye
336256,"mind, body, home",tisha morris,17436888-mind-body-home
121868,mindblindness,simon baron-cohen,37214.Mindblindness
153773,minders,michele jaffe,18136358-minders
