Unnamed: 0,Title,Author,Cleaned Goodreads URL
146066,سمفونی مردگان,abbas maroufi,9106527
345300,سمكة لا تجيد السباحة,حسن الحلبي,18721152
153623,سن عقل,jean-paul sartre,1850929._
4566,سنة القراءة الخطرة,andy miller,32725240
70188,سنت و بدعت در آموزش معماری,عیسی حجت,18721152
269883,سندريلا سيكريت,هبة السواح,18721152
70182,سه شنبه ها با موری,mitch albom,27155042
191246,سه قطره خون,sadegh hedayat,1907184._
230095,سوار أمي,علي بن جابر الفيفي,18721152
203080,سوف أحكي عنكِ,أحمد مهنى,18721152
345191,سوف تراه عندما تؤمن به,wayne w. dyer,30740027
395670,سوفانا,جعفر سلمان,18721152
373566,سوگ مادر,شاهرخ مسکوب,18721152
236428,سيد الخلق,كريمان حمزة,18721152
389175,سيدة الإماء,أحمد سلمان الأحمدي,18721152
191306,سیر حکمت در اروپا,محمدعلی فروغی,18721152
4542,شآبيب,أحمد خالد توفيق,18721152
132994,شاب كشك في رحلة البحث عن الجادون,عمرو سلامة,18721152
36189,شانيل والقدر,مشاري بودريد,18721152
350569,شاهدبازی در ادبیات فارسی,سیروس شمیسا,18721152
129374,شاي بالنعناع,أحمد خالد توفيق,18721152
269976,شاي بلبن,هديل عبد السلام,18721152
345310,شايب بالأحكام,سالي عادل,18721152
145049,شب,elie wiesel,32981575
334993,شبكة العنكبوت,osamah m. al muslim,24693639
345312,شخص مثالي للموت,سالي عادل,18721152
4579,شربة الحاج داود,أحمد خالد توفيق,18721152
122439,شرح ابن عقيل على ألفية ابن مالك,عبد الله بن عبد الرحمن المصري,18721152
4597,شرح السنة,الحسين بن مسعود البغوي,18721152
203006,شرق المتوسط,عبدالرحمن منيف,18721152
164952,شروط النهضة,مالك ابن نبي,18721152
191138,شعرها ١٣٢٣ - ١٣٧٨,احمد شاملو,18721152
203026,شغفها حبا,محمد السالم,18721152
345280,شـاطئ الأمـان,شريف شوقي,18721152
345329,شقة مسكونة,احمد فكري,18721152
270061,شكلها باظت,عمر طاهر,18721152
269894,شكلها سافرت,سها الفقي,18721152
156244,شمشیر شیشه ای,victoria aveyard,25387997
345324,شمهورش,احمد فكري,18721152
194255,شناخت اساطیر ایران,john r. hinnells,654586._
350570,شناگر,عباس عبدی,18721152
53857,شهرزاد أون فاير,هبة السواح,18721152
202971,شوبنهاور مربيًا,friedrich nietzsche,1907185._
153635,شوخی,milan kundera,2069412._
326842,شوق الدرويش,حمور زيادة,18721152
190022,شيء سيبقى بيننا,فاروق جويدة,18721152
370925,شيء من البحر فينا,درة الفازع,18721152
4683,شيء من هذا القبيل,إبراهيم أصلان,18721152
4441,شياملا,رانيا بده,18721152
202657,شيروفوبيا,محمد نجيب عبدالله,18721152
85223,شيزوفرينيا,عمر خالد عوده,18721152
191186,شيطان در بهشت,henry miller,8597200
345177,شيطنات الطفلة الخبيثة,mario vargas llosa,30731388
233456,شيفرة بلال,أحمد خيري العمري,18721152
142418,شيفرة دافنشي,dan brown,2318918._
134535,شيكاجو,alaa al aswany,2347744._
194240,شکار و تاریکی,rampo edogawa,33510681
191248,شیطان,leo tolstoy,33538389
307261,شیطان و دوشیزه پریم,paulo coelho,6010848
345202,صاحب السعادة,سلطان العثيم,18721152
20870,صاحب الظل الطويل,jean webster,7569043
275827,صانع الساعات الاعمى,ريتشارد دوكنز,18721152
231608,صانع الظلام,تامر إبراهيم,18721152
345204,صباحك ابتسامة,خالد صالح المنيف,18721152
139078,صدام حسين رحلة النهاية أم الخلود,محمود عبده,18721152
4446,صدى الأرواح,عبدالخالق كلاليب,18721152
4769,صدى النسيان,naguib mahfouz,6610274
53895,صديقي لا تأكل نفسك,عبد الوهاب مطاوع,18721152
4682,صديقي ما أعظمك,عبد الوهاب مطاوع,18721152
345263,صراع الأوغاد,محمد الدسوقي,18721152
345282,صراع الجواسيس,شريف شوقي,18721152
164968,صرخة .. في مطعم الجامعة !!,محمد العريفي,18721152
251320,صغر عقلك,معتز مشعل,18721152
85749,صفوة التفاسير,محمد علي الصابوني,18721152
4632,صنايعية مصر,عمر طاهر,18721152
4831,صور من حياة الصحابة,عبد الرحمن رأفت الباشا,18721152
275836,صورة دوريان غراي,oscar wilde,11512681
331057,صوفيا بتروفنا,lydia chukovskaya,18469666
202653,صولو,نور عبدالمجيد,18721152
331073,صياد القصص,eduardo galeano,11427750
194272,ضحاک,غلامحسین ساعدی,18721152
346494,ضحك مجروح,بلال فضل,18721152
129373,ضحكات كئيبة,أحمد خالد توفيق,18721152
194188,ضد,فاضل نظری,18721152
109353,ضهر الفرس,هيثم دبور,18721152
350584,ضيافت,plato,23521072
194256,ضیافت,plato,23521072
350583,طاعون,albert camus,440070._
218844,طاقة المكان,بشاير المنصوري,18721152
122388,طرفة بن الوردة,قاسم حداد,18721152
10376,طعام، صلاة، حب,elizabeth gilbert,7827749
202656,طغراء,شيرين هنائي,18721152
152812,طفل سعودي في باريس,يحيى خان,18721152
122468,طفلة الكوليرا,ماري رشّو,18721152
319572,طفلة بجسد امرأة,عبدالله الدليمي,18721152
164976,طفولة العلماء,خير شواهين,18721152
20898,طه الغريب,محمد صادق,18721152
331059,طوبولوجيا العنف,byung-chul han,17202720
191203,طوطی,susanna tamaro,13432689
4906,طوق الحمامة في الألفة والألاف,ابن حزم الأندلسي,18721152
269946,طوق الياسمين,واسيني الأعرج,18721152
109360,ظل الأفعى,youssef ziedan,9717473
373586,ظلمت در نیمروز,arthur koestler,18140295
53856,ظننته رجلا! ونسيت أن بعض الظن إثم,فاتن حمود,18721152
153620,عاشق,marguerite duras,18739431
194207,عاشقانه‌ای از امین‌الدین محمدصافی,یاسمن شکرگزار,18721152
194206,عاشقانه‌ای از سمک عیار,پری‌ناز قاسمی,18721152
194204,عاشقانه‌ای از شاهنامه فردوسی,الهام فلاح,18721152
194205,عاشقانه‌ای از عطار نیشابوری,امیر عباسیان*,18721152
194200,عاشقانه‌ای از قصه‌های کهن ایرانی,اعظم مهدوی,18721152
194208,عاشقانه‌ای از هزار و یک شب,سولماز خواجه‌وند,18721152
194202,عاشقانه‌ای از هزار و یک شب,علی بخشی,18721152
270045,عاشوا في حياتي,أنيس منصور,18721152
57775,عالم الأرواح العجيب,حسن الابطحي,18721152
331058,عالم الأسرار,مصطفى محمود,18721152
139079,عالم صدام حسين,مهدي حيدر,18721152
142420,عالم صوفي,jostein gaarder,27210617
202996,عالم وطاغية,يوسف القرضاوي,18721152
307279,عام الفيل,leila abouzeid,13170594
153661,عامه‌پسند,charles bukowski,6627313
167206,عايزة أتجوز,غادة عبدالعال,18721152
122401,عباد الشمس,sahar khalifeh,8514342
172134,عبث,لباب زيد الكايد,18721152
270049,عبد المنعم أبو الفتوح,عبد المنعم أبو الفتوح,18721152
4772,عبقرية الإمام علي,عباس محمود العقاد,18721152
4850,عبقرية عمر,عباس محمود العقاد,18721152
203024,عجوز تؤلمه الضحكات,عماد أبو صالح,18721152
345307,عد لزيارتنا,سالي عادل,18721152
4689,عداء الطائرة الورقية,khaled hosseini,18751666
108017,عدالة السماء,agatha christie,6240113
122573,عذراء جاكرتا,نجيب الكيلاني,18721152
345206,عرفت الله بالجمال,عبد العزيز القطان,18721152
307199,عرين الأسد,osamah m. al muslim,24693639
79078,عزازيل,youssef ziedan,9717473
269904,عزيزي البعيد,ساره عاشور,18721152
269975,عزيزي القادم من بلوتو,هديل عبد السلام,18721152
345258,عزيزي الوغد,محمد سامي,18721152
129326,عزيف,عمرو المنوفي,18721152
4806,عساكر قوس قزح,andrea hirata,22031468
122441,عش للقصيد,روضة الحاج,18721152
345257,عش ولا تقل للموت (لا) مرتين غدا,محمد سامي,18721152
99552,عشاء برفقة عائشة,محمد المنسي قنديل,18721152
129359,عشاق الأدرينالين,أحمد خالد توفيق,18721152
301177,عشر سنوات في مضارب آل نهيان,أسامة فوزي,18721152
269922,عشق,أحمد عبد المجيد,18721152
4654,عشيق الصين الشمالية,marguerite duras,18739431
345274,عصابة المزيفين,شريف شوقي,18721152
10397,عصبة الشياطين,osamah m. al muslim,24693639
164912,عصر القرود,مصطفى محمود,18721152
194241,عصیان,joseph roth,26069253
153583,عطر سنبل عطر کاج,firoozeh dumas,11018943
203038,عظمة أخرى لكلب القبيلة,سركون بولص,18721152
11600,عفيفة ولكن,بدرية المازم,18721152
135265,عقار 24,mohab targam*,20409556-24
129384,عقل بلا جسد,أحمد خالد توفيق,18721152
134153,عقلية الحل,اأحمد خليل خير,18721152
4882,عقيدة المؤمن,أبو بكر جابر الجزائري,18721152
4532,علاقات خطرة,د. محمد طه,18721152
345161,"علاقة حب مع الله "" يحبهم و يحبونه""",سامية الزرعي,18721152
4541,علام يطلق اسم فلسطين؟,alain gresh,27861318
234599,علم نفس النمو الطفولة والمراهقة,حامد عبد السلام زهران,18721152
53896,علمتني آية,ملهم دوباني,18721152
212163,علمتني الحياة,مريم راشد,18721152
269968,على أجنحة الطير,إسلام حجي,18721152
333494,على باب زويلة,محمد سعيد العريان,18721152
122568,على خطى الحبيب محمد رسول الله,عمرو خالد,18721152
122406,على هامش السرد,طامي السميري,18721152
100261,عمارة آل داوود,مروى جوهر,18721152
190017,عمر من ورق,فاروق جويدة,18721152
269900,عن فيلسوفة,محمد إنسان,18721152
135271,عناق عند جسر بروكلين,عزالدين شكري فشير,18721152
226101,عندما يعشق الرجال,سارة العليوي,18721152
108024,عودة بوارو,agatha christie,6240113
345184,عيش اللحظة,مصطفى حسني,18721152
4523,عين سارحة وعين مندهشة,أسامة الدناصوري,18721152
345148,عينان منكسرتان,tahar ben jelloun,20659802
99595,عيون يسكنها الشيطان,أحمد ماجد نجاتي,18721152
153389,عِش عظيماً,كريم الشاذلي,18721152
4708,غادة الكاميليا,alexandre dumas fils,29540425
20882,غدا,guillaume musso,20792587
129356,غرباء الأطوار,أحمد خالد توفيق,18721152
4774,غربة الياسمين,خولة حمدي,18721152
135270,غرفة العناية المركزة,عزالدين شكري فشير,18721152
88874,غرفة المسافرين,عزت القمحاوي,18721152
