,Title,Author,Rating,User_id,isbn,num_ratings,avg_rating,num_pages,review,date_started,date_read,date_added,format,date_pub_edition
181,bloodline,james rollins,Invalid rating,117995654,0061784796,"24,211",4.25,447pp,,not set,not set,"Sep 05, 2020",Hardcover,"Jun 26, 2012"
199,nocturnal,scott sigler,Invalid rating,117995654,,"8,061",4.08,1pp,,not set,not set,"Sep 05, 2020",Podcast Novel,2007
202,nocturnal,scott sigler,Invalid rating,117995654,0307406342,"8,061",4.08,566pp,,not set,not set,"Sep 05, 2020",Hardcover,"Apr 03, 2012"
203,pandemic,scott sigler,Invalid rating,117995654,0770436773,"5,720",4.23,592pp,,not set,not set,"Sep 05, 2020",Kindle Edition,"Jan 21, 2014"
343,a river enchanted,rebecca ross,4,117995659,0063055988,"80,416",4.07,480pp,"The book was a great find, and I really enjoyed reading it. The summary doesn't do justice to the book's actual plot. This story wasn't just about JacThe book was a great find, and I really enjoyed reading it. The summary doesn't do justice to the book's actual plot. This story wasn't just about Jack; it was about the many people in the town whose lives and relationships were intertwined. One thing I really loved about this story was the relationship between Torin and Sidra. Sometimes, you can tell which character's story an author is really passionate about telling. Their relationship on the paper felt real and tangible, and they had very realistic emotions and fleshed-out dialogues.However, since Jack is the main character in this novel, I was terribly disappointed in the way he was regarded as a side character. His romance with Adaira felt very frustrating because I genuinely couldn't feel the chemistry between the characters. I felt like the author just shoved the enemies-to-lovers trope in our faces. It didn't feel real or fleshed out properly, and I kept comparing their relationship to that of Torin and Sidra (which left me wanting more). In fact, at the end, I was a bit relieved when Adaira decided to leave Jack to remain in the west (or east?) I forgot which side they were on.In the end, I will definitely get a paper copy of this book to keep at home. It was a very warm, cozy and slow (EMPHASIS on SLOW) read....more","Mar 08, 2025","Mar 12, 2025","Mar 08, 2025",Hardcover,"Feb 15, 2022"
344,the poppy war,r.f. kuang,5,117995659,0062662597,"390,871",4.17,545pp,,not set,"Mar 06, 2025","Mar 07, 2025",Kindle Edition,"May 01, 2018"
349,the gilded ones,namina forna,4,117995659,1984848704,"53,819",3.99,432pp,,not set,Feb 2025,"Feb 05, 2025",Kindle Edition,"Feb 09, 2021"
350,betting on you,lynn painter,Invalid rating,117995659,1665921234,"124,109",4.12,432pp,,not set,not set,"Dec 31, 2024",Hardcover,"Nov 28, 2023"
352,the prince and the dressmaker,jen wang,3,117995659,162672363X,"118,296",4.34,277pp,,"Dec 17, 2024not set",Jan 2025not set,"Dec 17, 2024",Paperback,"Feb 13, 2018"
356,where sleeping girls lie,faridah àbíké-íyímídé,3,117995659,1250800846,"15,794",4.01,416pp,,"Dec 20, 2024","Dec 24, 2024","Dec 17, 2024",Hardcover,"Mar 19, 2024"
