0,Fiction,"['Fiction', 'Book Club', 'Romance', 'Audiobook', 'Contemporary', 'Literary Fiction', 'Chick Lit']",94733,the wedding people,"Alternate cover edition of ISBN 9781250899576.A propulsive and uncommonly wise novel about one unexpected wedding guest and the surprising people who help her start anew.It’s a beautiful day in Newport, Rhode Island, when Phoebe Stone arrives at the grand Cornwall Inn wearing a green dress and gold heels, not a bag in sight, alone. She's immediately mistaken by everyone in the lobby for one of the wedding people, but she’s actually the only guest at the Cornwall who isn’t here for the big event. Phoebe is here because she’s dreamed of coming for years—she hoped to shuck oysters and take sunset sails with her husband, only now she’s here without him, at rock bottom, and determined to have one last decadent splurge on herself. Meanwhile, the bride has accounted for every detail and every possible disaster the weekend might yield except for, well, Phoebe and Phoebe's plan—which makes it that much more surprising when the two women can’t stop confiding in each other. In turns absurdly funny and devastatingly tender, Alison Espach’s The Wedding People is ultimately an incredibly nuanced and resonant look at the winding paths we can take to places we never imagined—and the chance encounters it sometimes takes to reroute us.",alison espach,"Alison Espach grew up in Trumbull, Connecticut, where she lived for most of her life. She earned her BA from Providence College and her Masters in Creative Writing from Washington University in St. Louis. Her writing has appeared in McSweeney's, Five Chapters, Glamour, Salon, The Daily Beast, Writer's Digest, and other journals. She is currently teaching in New York City.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fnophoto%2Fuser%2Fu_700x933.png&w=256&q=75,384,4.13,522662,59103,7/30/2024,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1721918653l/198902277.jpg,https://www.goodreads.com/book/show/198902277-the-wedding-people?from_choice=true,"['189,444 (36%)', '232,232 (44%)', '82,474 (15%)', '14,607 (2%)', '3,905 (<1%)']",795960,-1,Unnamed: 19,Unnamed: 20
70693,Not applicable,"['Romance', 'New Adult', 'Contemporary Romance', 'Abuse', 'Contemporary', 'Music', 'Young Adult']",Not applicable,white trash beautiful,"A word-of-mouth bestseller that’s captivating readers with its honesty, grit, and headstrong heroine, White Trash Beautiful is a story for anyone who has ever felt trapped in life, cheated by love—and longed for something more . . .Cass Daniels isn’t waiting for her knight in shining armor. She knows that girls like her don’t get a happily ever after. Not if you live in a trailer with your mom, work at a greasy spoon diner, and get leered at by old men. Maybe that’s why she puts up with Jackson—her poor excuse for a boyfriend, who treats her like dirt. Cass has learned to accept her lot in life. That is, until he walks into her diner. . . .His name is Tucker White, and he’s different from any man Cass has ever known. Tall, tattooed, and bad-ass gorgeous, he’s the lead singer of the rock band Damaged. From the moment they meet, Tucker sees something in Cass he just can’t shake. Something beautiful. Something haunted. Something special. And he’s determined to find out what it is—if only he can get her to open up and let him in. . . .",teresa mummert,"TERESA MUMMERT is a New York Times and USA Today bestselling author. Her work includes word-of-mouth bestselling, White Trash Trilogy, which landed her a three-book publishing deal with Simon & Schuster. She is also the author of the wildly popular Honor Series which chronicles the taboo romance between a student and her college professor.To date, she's written over twenty-five novels and plans for many more releases in the future.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1621305540i%2F5214793._UX200_CR0%2C33%2C200%2C200_.jpg&w=256&q=75,Audiobook,3.81,13044,1030,,Missing,https://www.goodreads.com/book/show/17278063-white-trash-beautiful,"['4,104 (31%)', '4,227 (32%)', '3,197 (24%)', '1,124 (8%)', '392 (3%)']",7884,134,,
70694,Not applicable,"['New Adult', 'Romance', 'Contemporary', 'Contemporary Romance', 'Music', 'Audiobook', 'Young Adult']",Not applicable,white trash damaged,"Rocker Tucker White saved down-and-out waitress Cass Daniels from everyone in her life who was hurting her—except herself. In the much-anticipated follow-up to White Trash Beautiful, Teresa Mummert’s New York Times and USA Today bestseller, Tucker and Cass are finally together, but does that mean they get their happy ending? Living on a tour bus with your boyfriend’s rock band is nothing like living in a trailer with your drug-addicted mother—except for the drama. After all the pain and grief that marked the beginning of Cass and Tucker’s relationship, they’re finally building a life together—just the two of them, his three bandmates, some groupies, and thousands of screaming fans. And not everyone is as happy about the couple’s reunion as they are. The last thing Cass wants to do is create friction within the band—especially when Damaged is on the brink of achieving the success Tucker has worked so hard for. She’s thrilled to finally be with a man who loves and protects her as much as he does. But how can she carve out a place for herself in this new rock star world . . . without being swallowed by the shadow of Tucker’s fame?",teresa mummert,"TERESA MUMMERT is a New York Times and USA Today bestselling author. Her work includes word-of-mouth bestselling, White Trash Trilogy, which landed her a three-book publishing deal with Simon & Schuster. She is also the author of the wildly popular Honor Series which chronicles the taboo romance between a student and her college professor.To date, she's written over twenty-five novels and plans for many more releases in the future.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1621305540i%2F5214793._UX200_CR0%2C33%2C200%2C200_.jpg&w=256&q=75,320,3.95,3636,269,,Missing,https://www.goodreads.com/book/show/17571785-white-trash-damaged,"['1,203 (33%)', '1,361 (37%)', '800 (22%)', '217 (5%)', '55 (1%)']",5746,49,,
70695,Not applicable,"['New Adult', 'Romance', 'Audiobook', 'Contemporary Romance', 'Music', 'Abuse', 'Drama']",Not applicable,white trash love song,"In this highly anticipated follow-up to White Trash Damaged, Cass and Tucker have finally found their happily ever after, but can Eric, the band’s brooding drummer, ever let go of his past and find love?From a small-town boy with fantasies of superstardom to rock star on tour with the suddenly famous band Damaged, Eric’s life has not been an easy journey. Now he struggles to let go of his past of physical abuse, a past that still haunts him. His anger is causing him to spiral out of control and he risks losing everything he has worked so hard for.Only one person has ever gotten him to open up about his past: Sarah, the lead singer of Filth, the opening act on their first national tour—a fellow rocker with a confident façade that masks her own painful secrets. But their bands’ rocky past and Sarah’s tumultuous relationship with her bandmate and boyfriend Derek force her to keep Eric at a distance. As their friendship begins to grow into something more, Eric has to find a way to let go of his tortured past, or it could jeopardize his only chance for a happy future...",teresa mummert,"TERESA MUMMERT is a New York Times and USA Today bestselling author. Her work includes word-of-mouth bestselling, White Trash Trilogy, which landed her a three-book publishing deal with Simon & Schuster. She is also the author of the wildly popular Honor Series which chronicles the taboo romance between a student and her college professor.To date, she's written over twenty-five novels and plans for many more releases in the future.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1621305540i%2F5214793._UX200_CR0%2C33%2C200%2C200_.jpg&w=256&q=75,321,4,1310,145,,Missing,https://www.goodreads.com/book/show/16138461-white-trash-love-song,"['482 (36%)', '461 (35%)', '273 (20%)', '70 (5%)', '24 (1%)']",3472,35,,
70696,Not applicable,"['New Adult', 'Romance', 'Young Adult', 'Abuse', 'Dark', 'Mental Illness', 'Contemporary']",Not applicable,white walls,"Adelaide Carmichael knows that she's lost her mind.She's aware that she's being sent to The Oakhill Institution, but she's been told that she's being sent there to get better. She's been told that the staff is there to help.And it doesn't take Adelaide long to discover that she was very, very wrong about The Oakhill Institution. Patients roam the halls like zombies. Electric currents vibrate through the plaster walls. Patients are fed sedatives like mashed potatoes and now Adelaide knows one thing for sure, she wants out.And she'll do whatever she can to escape.This is a mature New Adult Romance intended for ages 16 and up.",lauren hammond,"Lauren Hammond knew from a young age that she was born to be a writer. After publishing her first novel in 2007, she then went on to write several screenplays and a few award winning poems.She aspires to be a positive role model for young people who have a pencil, a piece of paper, and a dream. Never give up on your dreams, you might wake up one day and regret not pursuing them.She has two more novels in the works, as well as some film projects",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1567353848i%2F4115682._UX200_CR0%2C0%2C200%2C200_.jpg&w=256&q=75,199,4.02,1753,248,,Missing,https://www.goodreads.com/book/show/18867476-white-walls,"['650 (37%)', '638 (36%)', '338 (19%)', '96 (5%)', '31 (1%)']",1970,22,,
70697,Not applicable,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Vampires', 'Witches', 'Magic', 'Demons']",Not applicable,"white witch, black curse","New York Times bestselling author Kim Harrison returns to the sinister and seductive Hollows for the newest blockcuster adventure featuring Rachel Morgan, witch and bounty hunter.White Witch, Black CurseSome wounds take time to heal...and some scars never fade.Rachel Morgan, kick-ass witch and bounty hunter, has taken her fair share of hits, and has broken lines she swore she would never cross. But when her lover was murdered, it left a deeper wound than Rachel ever imagined, and now she won't rest until his death is solved...and avenged. Whatever the cost.Yet the road to hell is paved with good intentions, and when a new predator moves to the apex of the Inderland food chain, Rachel's past comes back to haunt her.Literally.",kim harrison,"Kim Harrison is best known as the author of the New York Times #1 best selling Hollows series, but she has written more than urban fantasy and has published over two-dozen books spanning the gamut from young adult, thriller, several anthologies, and has scripted two original graphic novels. She has also published traditional fantasy under the name Dawn Cook. Kim is currently working on a new Hollows book between other, non related, urban fantasy projects.Kim reaches out to her audience at Facebook https://www.facebook.com/KimHarrisons... Instagramhttps://instagram.com/kim_harrison_au...and her blog http://kimharrison.wordpress.com/other pseudonyms: Dawn Cook",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1435095735i%2F17054._UY200_CR0%2C0%2C200%2C200_.jpg&w=256&q=75,504,4.34,51423,1346,,Missing,https://www.goodreads.com/book/show/3475268-white-witch-black-curse,"['26,480 (51%)', '17,605 (34%)', '6,151 (11%)', '897 (1%)', '290 (<1%)']",10973,763,,
70698,Not applicable,"['Nonfiction', 'Politics', 'Sociology', 'Economics', 'History', 'Audiobook', 'Race']",Not applicable,white working class,"Around the world, populist movements are gaining traction among the white working class. Meanwhile, members of the professional elite―journalists, managers, and establishment politicians--are on the outside looking in, left to argue over the reasons. In White Working Class , Joan C. Williams, described as having ""something approaching rock star status"" by the New York Times , explains why so much of the elite's analysis of the white working class is misguided, rooted in class cluelessness. Williams explains that many people have conflated ""working class"" with ""poor""--but the working class is, in fact, the elusive, purportedly disappearing middle class. They often resent the poor and the professionals alike. But they don't resent the truly rich, nor are they particularly bothered by income inequality. Their dream is not to join the upper middle class, with its different culture, but to stay true to their own values in their own communities--just with more money. While white working-class motivations are often dismissed as racist or xenophobic, Williams shows that they have their own class consciousness. White Working Class is a blunt, bracing narrative that sketches a nuanced portrait of millions of people who have proven to be a potent political force. For anyone stunned by the rise of populist, nationalist movements, wondering why so many would seemingly vote against their own economic interests, or simply feeling like a stranger in their own country, White Working Class will be a convincing primer on how to connect with a crucial set of workers--and voters.",joan c. williams,"Professor Joan C. Williams is Distinguished Professor of Law, 1066 Foundation Chair, founding Director of the Center for WorkLife Law at University of California, Hastings College of the Law, and Co-Director of the Project on Attorney Retention (PAR). ",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1532149664i%2F620852._UX200_CR0%2C0%2C200%2C200_.jpg&w=256&q=75,180,3.89,1945,337,,Missing,https://www.goodreads.com/book/show/34014218-white-working-class,"['577 (29%)', '747 (38%)', '475 (24%)', '117 (6%)', '29 (1%)']",2928,262,,
70699,Not applicable,"['Historical Fiction', 'British Literature']",Not applicable,whiteblade,"Woken in the middle of the night to flee the fortress of Bebbanburg on the Northumbrian coast, the twelve year old Prince Oswald escapes his father’s killer, Edwin, to establish a new life for himself on the West Coast of Scotland. He becomes a staunch Christian on Iona and trains to be a warrior, making a name for himself in the frequent wars in Ulster and in a divided Scotland. Having earned himself the nickname of ‘Whiteblade’, he establishes himself as the greatest war leader in his adopted homeland. However, he is beset by enemies on all sides and is betrayed by those he should be able to trust the most. After playing a leading role in deposing the treacherous Connad, King of Dalriada, he helps his successor to extend Dalriada to include the Isles of Skye, Arran and Bute. When King Edwin is killed in battle and those who try to succeed him are also killed by Cadwallon and his invading Welsh army, Oswald decided that his moment of destiny has arrived; he sets out with his warriors to confront Cadwallon and win back the throne of Northumbria. ",h.a. culley,H.A. Culley served in the Army for twenty four years during which time he had a variety of unusual jobs. These included commanding an Arab unit in the desert for three years and a tour as the military attaché in Beirut in the late seventies.After leaving the Army he became the business manager of a large independent school for twenty years before moving into marketing and fundraising. He has also been involved in two major historical projects and now works for an educational charity.He has given talks on historical subjects for several years and the research involved provided his inspiration for writing historical fiction.He has three adult children and lives near Holy Island in Northumberland with his wife and two Bernese Mountain Dogs.,/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fnophoto%2Fuser%2Fu_700x933.png&w=256&q=75,221,3.94,355,18,,Missing,https://www.goodreads.com/book/show/32188104-whiteblade,"['125 (35%)', '122 (34%)', '80 (22%)', '19 (5%)', '9 (2%)']",80,188,,
70700,Not applicable,"['History', 'Nonfiction', 'Race', 'Politics', 'Sociology', 'American History', 'Social Justice']",Not applicable,whiteness of a different color,"America's racial odyssey is the subject of this remarkable work of historical imagination. Matthew Frye Jacobson argues that race resides not in nature but in the contingencies of politics and culture. In ever-changing racial categories we glimpse the competing theories of history and collective destiny by which power has been organized and contested in the United States.Capturing the excitement of the new field of ""whiteness studies"" and linking it to traditional historical inquiry, Jacobson shows that in this nation of immigrants ""race"" has been at the core of civic assimilation: ethnic minorities in becoming American were re-racialized to become Caucasian. He provides a counter-history of how nationality groups such as the Irish or Greeks became Americans as racial groups like Celts or Mediterraneans became white. Jacobson tracks race as a conception and perception, emphasizing the importance of knowing not only how we label one another but also how we see one another, and how that racialized vision has largely been transformed in this century. The stages of racial formation--race as formed in conquest, enslavement, imperialism, segregation, and labor migration--are all part of the complex, and now counterintuitive, history of race.Whiteness of a Different Color traces the fluidity of racial categories from an immense body of research in literature, popular culture, politics, society, ethnology, anthropology, cartoons, and legal history, including sensational trials like the Leo Frank case and the Draft Riots of 1863.",matthew frye jacobson,"Matthew Frye Jacobson, a professor of American Studies at Yale, is the author of Whiteness of a Different Color and Special Sorrows. He lives in New York City.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1347566991i%2F44430._UX200_CR0%2C60%2C200%2C200_.jpg&w=256&q=75,364,4.02,721,48,,Missing,https://www.goodreads.com/book/show/221702.Whiteness_of_a_Different_Color,"['256 (35%)', '277 (38%)', '143 (19%)', '34 (4%)', '11 (1%)']",2276,48,,
70701,Not applicable,"['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Crime', 'Mystery Thriller', 'Audiobook']",Not applicable,whiteout,product_description,ken follett,"Ken Follett is one of the world’s most successful authors. Over 170 million copies of the 36 books he has written have been sold in over 80 countries and in 33 languages.Born on June 5th, 1949 in Cardiff, Wales, the son of a tax inspector, Ken was educated at state schools and went on to graduate from University College, London, with an Honours degree in Philosophy – later to be made a Fellow of the College in 1995.He started his career as a reporter, first with his hometown newspaper the South Wales Echo and then with the London Evening News. Subsequently, he worked for a small London publishing house, Everest Books, eventually becoming Deputy Managing Director.Ken’s first major success came with the publication of Eye of the Needle in 1978. A World War II thriller set in England, this book earned him the 1979 Edgar Award for Best Novel from the Mystery Writers of America. It remains one of Ken’s most popular books.In 1989, Ken’s epic novel about the building of a medieval cathedral, The Pillars of the Earth, was published. It reached number one on best-seller lists everywhere and was turned into a major television series produced by Ridley Scott, which aired in 2010. World Without End, the sequel to The Pillars of the Earth, proved equally popular when it was published in 2007.Ken’s new book, The Evening and the Morning, will be published in September 2020. It is a prequel to The Pillars of the Earth and is set around the year 1,000, when Kingsbridge was an Anglo-Saxon settlement threatened by Viking invaders.Ken has been active in numerous literacy charities and was president of Dyslexia Action for ten years. He was chair of the National Year of Reading, a joint initiative between government and businesses. He is also active in many Stevenage charities and is President of the Stevenage Community Trust and Patron of Home-Start Hertfordshire.Ken, who loves music almost as much as he loves books, is an enthusiastic bass guitar player. He lives in Stevenage, Hertfordshire, with his wife Barbara, the former Labour Member of Parliament for Stevenage. Between them they have five children, six grandchildren and two Labradors.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1604049089i%2F3447._UX200_CR0%2C25%2C200%2C200_.jpg&w=256&q=75,393,3.67,42064,2307,,Missing,https://www.goodreads.com/book/show/2251680.Whiteout,"['8,959 (21%)', '15,458 (36%)', '13,417 (31%)', '3,372 (8%)', '858 (2%)']",13828,2702,,
