User_id,Total_Relevant_Books,Overlap_Rec_CB_Only,Overlap_Rec_CF_Only,Overlap_Rec_CB_Filtered_by_CF,Overlap_Rec_By_Multiplying_Scores
100346763,140,8,0,7,2
100466606,14,1,0,1,1
100609465,39,2,0,1,1
100684893,101,3,0,2,2
100778714,76,2,0,2,1
100940672,3,0,0,0,0
101216789,11,0,0,0,0
101216852,4,1,0,0,1
101220548,107,3,0,4,4
101319557,10,0,0,0,0
101399190,63,0,1,0,0
101545,171,2,0,3,4
1016626,63,1,0,0,0
101771323,19,0,0,0,0
101771333,7,0,0,0,0
101859510,77,3,0,3,2
10203857,63,0,0,0,0
10203859,11,0,0,0,0
10203885,29,3,0,3,1
10203911,3,0,0,0,0
10203930,47,2,0,0,0
1022175,46,2,0,1,1
10221985,65,4,0,3,3
10232391,29,0,0,1,1
1023916,63,1,0,0,0
10254102,31,0,0,0,0
102792380,35,1,0,0,0
10289642,34,0,0,0,0
1029975,165,4,0,4,2
10305846,129,2,0,0,0
103070,83,0,0,1,2
10312212,89,9,0,9,9
103186571,22,1,0,2,1
103195758,88,2,0,1,1
1032237,51,3,0,5,5
103237421,34,0,0,1,1
103237442,16,0,1,0,0
10336538,160,1,0,2,0
10378,127,0,0,1,0
103871630,7,0,0,0,0
103871633,37,0,0,0,0
103871677,19,0,0,0,0
10412131,63,2,0,3,2
104151519,18,0,0,2,0
10427914,47,3,0,1,1
1043486,12,0,0,0,0
10435023,131,7,0,9,7
104510001,56,4,0,9,7
104716663,140,2,0,0,0
1047783,146,0,0,0,0
1049154,117,3,0,1,1
104916413,66,1,0,2,1
105008575,46,4,0,3,3
105052818,66,1,0,0,0
10534275,57,0,0,0,0
10549695,143,3,0,4,0
10582065,76,0,0,0,0
105925108,30,0,0,2,0
1060805,191,0,0,0,1
10611417,11,0,0,0,0
10611448,5,0,0,0,0
106201616,62,1,0,0,0
106415102,65,2,0,2,2
106505124,6,1,0,0,1
106505170,7,0,0,0,0
