User_id,Total_Relevant_Books,Overlap_Rec_CB_Only,Overlap_Rec_CF_Only,Overlap_Rec_CB_Filtered_by_CF,Overlap_Rec_By_Multiplying_Scores
10378,126,0,1,3,2
11481,85,0,2,2,2
20787,144,5,4,3,5
23760,134,5,1,5,2
26259,194,0,2,0,2
34033,150,2,1,2,3
43247,112,5,2,2,3
66547,96,3,2,1,3
71171,213,5,2,6,5
101545,174,4,0,2,2
103070,92,2,2,2,4
110433,55,5,1,3,2
111076,91,9,0,6,6
111921,204,2,1,1,4
122317,169,7,2,5,10
126589,164,3,2,2,2
133714,57,0,0,0,0
138010,189,7,4,5,6
146952,122,3,0,2,3
148723,148,6,0,2,1
151241,107,2,2,2,1
168143,123,1,0,1,1
168384,6,1,0,0,0
168387,64,2,0,2,1
168421,5,2,0,0,2
168445,20,3,0,0,0
180115,196,6,2,7,7
190396,96,5,0,3,1
204148,92,1,1,1,4
214053,141,6,2,4,3
216457,99,6,0,4,2
267879,10,0,0,0,0
270222,112,6,1,10,6
278701,256,5,6,4,10
279192,116,2,0,2,3
280132,9,0,0,0,0
288297,42,1,1,1,1
296746,121,0,0,1,1
314156,99,3,4,4,3
369169,44,6,0,4,3
371167,82,3,1,2,1
382032,52,1,1,1,0
382208,183,6,5,4,3
402223,64,3,0,4,4
405390,151,2,0,1,0
406272,74,1,0,2,0
410704,14,1,1,0,2
413438,126,4,0,0,0
436416,96,7,2,7,7
445457,17,0,0,1,0
445497,7,3,0,1,1
470851,35,13,0,9,12
564449,159,3,3,7,6
569116,36,1,0,4,2
608412,231,6,1,8,4
614027,6,1,0,0,0
614053,30,0,1,1,2
614079,21,0,0,0,0
632373,90,10,0,8,7
641112,191,14,3,9,7
668844,42,8,1,7,4
686207,107,3,1,4,4
692133,91,1,0,0,0
711115,233,0,4,4,4
799904,187,6,6,8,12
855698,41,4,0,2,2
860470,66,4,0,3,7
860480,51,2,0,0,0
860509,20,2,1,2,2
897583,148,6,3,4,5
921003,248,13,7,13,16
925540,65,0,2,0,0
1016626,61,1,0,0,0
1022175,45,4,1,4,2
1023916,65,4,0,2,0
1029975,165,9,1,9,9
1032237,48,8,0,8,8
1043486,12,0,0,0,0
1047783,149,0,2,1,0
1049154,125,3,1,3,4
1060805,188,1,4,4,4
1072582,72,3,0,3,4
1090335,74,1,2,2,2
1093212,185,10,3,8,11
1107219,79,5,0,6,6
1128612,81,0,0,1,1
1131400,164,4,2,6,5
1147841,193,1,1,0,2
1159765,25,2,0,0,0
1185451,141,1,0,1,5
1199295,153,4,0,6,7
1202013,10,3,0,1,2
1209800,152,3,5,3,8
1220877,88,1,1,3,1
1223383,172,1,3,4,1
1223795,70,6,0,2,2
1226397,27,3,0,0,1
1234561,6,0,0,0,0
1235793,238,9,5,6,10
1241339,67,2,0,1,2
1245002,153,3,4,5,5
1245094,240,5,2,7,6
1250107,118,1,2,2,1
1260880,4,0,0,0,1
1262683,120,1,1,3,4
1291915,60,2,1,1,0
1296719,69,5,1,2,2
1302775,158,0,1,2,5
1325473,86,2,2,1,1
1330063,101,3,1,4,3
1331641,29,0,0,0,0
1336770,71,2,0,2,0
1343864,116,0,2,1,4
1352208,70,6,0,2,2
1372915,82,1,3,2,4
1378745,129,1,1,2,3
1380029,171,1,1,5,3
1394424,16,3,0,0,1
1406509,46,0,0,2,0
1412404,38,0,0,1,0
1418580,157,8,2,6,8
1426205,31,0,0,1,0
1436215,87,3,0,9,6
1443670,87,1,0,1,0
1453376,121,9,3,6,6
1493796,7,0,0,0,0
1494253,154,6,3,3,1
1520077,124,6,1,4,2
1533889,87,8,0,9,8
1552680,17,0,0,2,1
1570073,14,0,0,0,0
1570669,94,1,1,1,1
1583745,19,0,0,0,0
1584031,80,12,0,5,5
1617945,137,4,0,5,3
1653329,22,1,0,1,1
1656405,86,3,1,3,2
1663300,40,0,0,3,1
1710139,131,5,1,2,3
1720620,93,5,2,1,0
1745255,88,4,4,5,5
1772954,157,2,4,6,4
1774372,84,5,0,2,1
1787686,117,7,0,5,5
1794132,148,1,4,0,4
1794273,120,3,1,1,2
1810079,189,8,2,9,7
1817562,142,13,0,11,15
1818854,155,2,2,5,3
1842059,165,8,3,8,9
1844266,110,1,1,0,2
1856047,50,1,1,2,2
1861778,245,3,4,2,6
1863589,186,15,7,18,21
1880531,168,5,4,7,10
1882027,81,6,0,6,4
1891730,68,14,0,12,7
1898820,132,4,1,3,2
1908059,67,2,1,5,2
1913145,145,6,0,5,5
1924043,61,3,0,4,1
1924495,78,0,0,2,0
1929922,41,2,2,4,6
1950510,164,1,1,3,4
1962503,70,3,0,5,2
1964421,191,1,2,3,2
1969584,30,3,0,1,0
1974093,182,1,2,1,5
1983856,19,1,0,0,0
1991707,95,6,1,3,3
2014482,27,0,0,0,0
2014500,19,0,1,1,2
2018505,131,13,1,8,3
2034390,49,0,1,0,0
2054116,24,3,0,1,0
2082345,170,4,0,3,0
2095173,144,6,2,9,13
2095931,100,9,2,11,8
2097476,64,0,0,1,1
2099479,23,5,0,3,1
2099671,166,2,2,2,2
2109885,148,2,1,1,6
2128827,72,0,0,0,0
2143854,19,3,0,3,2
2143983,172,3,1,1,2
2146364,17,0,0,1,1
2148960,184,4,0,6,6
2151106,72,4,1,2,2
2155177,159,2,3,3,5
2165551,63,3,0,2,2
2169751,88,1,1,1,1
2169934,22,0,0,0,0
2178074,218,7,2,6,8
2182793,65,2,1,2,2
2190636,91,1,1,2,1
2209138,18,1,0,0,0
2231715,103,0,0,0,2
2251204,138,2,8,3,8
2293690,167,8,2,8,8
2294090,138,1,0,3,1
2308548,80,4,1,3,4
2313194,94,5,0,4,0
2314568,63,2,0,3,0
2326664,104,8,1,6,5
2327078,113,2,4,0,2
2344676,8,0,0,0,0
2345554,76,9,1,8,8
2351360,133,2,2,3,5
2352900,154,5,3,3,5
2355520,133,9,0,6,2
2364302,57,0,0,1,1
2369376,74,4,0,7,6
2386804,56,4,0,2,0
2406353,184,3,0,3,3
2414546,140,0,1,5,4
2424668,163,3,0,4,2
2437247,116,6,1,3,3
2458751,161,6,3,6,4
2467655,102,2,0,0,1
2489609,29,0,0,2,0
2514526,204,7,1,3,2
2519765,97,2,1,3,3
2530071,81,5,0,3,1
2538041,117,4,1,1,2
2541133,107,6,2,3,2
2544368,51,6,0,1,0
2570153,16,2,1,1,2
2606150,67,2,0,4,2
2609870,167,2,0,6,5
2614673,131,3,0,1,1
2617038,93,3,1,3,3
2626261,192,10,0,16,7
2641583,12,0,0,0,0
2655372,217,4,5,6,9
2657711,37,5,2,5,2
2676031,6,0,0,0,0
2686254,2,0,0,0,0
2688255,94,1,0,0,3
2692073,14,1,0,0,1
2714432,27,2,1,0,0
2715018,137,1,0,3,1
2719644,114,3,1,4,3
2745288,39,1,1,1,0
2793945,151,5,2,4,7
2795921,159,6,7,5,5
2833624,75,1,1,0,1
2841223,52,5,0,5,5
2861703,65,0,0,0,1
2867944,89,2,2,4,4
2902491,35,0,0,2,1
2907291,245,14,7,12,17
2942168,128,6,1,7,9
2949869,54,8,0,6,5
2950662,154,2,1,11,9
2954717,100,13,0,9,10
2969647,157,3,0,3,0
2978148,165,5,4,5,2
2981158,4,4,0,0,1
2989013,8,0,0,0,0
2990442,10,0,0,0,0
2993837,114,2,1,5,5
3007761,13,0,0,1,0
3031302,95,0,0,0,2
3039709,169,1,2,2,2
3053000,31,3,0,0,3
3079764,37,0,0,0,0
3106785,173,4,4,3,3
3107113,139,8,2,7,7
3110814,154,12,2,9,8
3122452,136,5,4,5,8
3166645,42,1,0,0,0
3172249,19,0,0,2,0
3188553,197,3,0,3,2
3192797,174,2,4,0,3
3192922,49,2,0,2,0
3222333,39,1,0,0,1
3229028,28,0,0,0,0
3237560,162,2,1,2,2
3252035,23,0,0,0,0
3286370,176,7,2,5,4
3303646,75,1,1,1,1
3304052,169,16,0,8,9
3318055,84,6,0,3,3
3333943,185,11,1,6,6
3336334,6,0,0,1,1
3336420,11,0,0,0,0
3350026,164,0,7,1,5
3350076,220,10,3,10,9
3350416,42,0,0,0,0
3354851,95,1,1,1,4
3356446,81,1,2,2,2
3363188,136,0,0,5,5
3396025,178,11,2,10,9
3398611,77,7,0,2,3
3414637,50,4,0,3,2
3416893,160,8,0,6,3
3431327,115,1,1,3,2
3438047,133,19,2,14,9
3440334,181,2,1,2,8
3452993,122,6,2,8,8
3453249,130,5,1,3,2
3454421,8,0,0,0,0
3454474,49,3,1,1,2
3555103,191,2,7,1,7
3577919,62,1,1,3,2
3593554,113,6,2,1,2
3615215,89,5,4,5,6
3648871,72,2,1,3,2
3658457,63,1,1,0,1
3660666,76,1,1,0,1
3686683,46,4,0,3,3
3695758,180,2,2,6,5
3772692,71,4,0,3,1
3773399,38,3,0,2,1
3793080,119,1,4,2,7
3796959,74,6,0,5,3
3809685,44,1,0,3,2
3816725,185,1,2,2,1
3825460,110,6,1,4,4
3839010,126,8,3,4,6
3846743,92,0,0,1,0
3849230,53,0,0,1,1
3860567,42,3,1,2,1
3862046,131,8,1,7,6
3887364,139,14,2,11,11
3901425,168,4,0,4,6
3920693,42,1,1,1,0
3925847,88,1,1,2,5
3935005,15,0,0,0,0
3942056,43,0,0,0,0
3988681,31,9,0,7,4
4003368,62,1,1,1,0
4015835,127,6,0,2,2
4021101,22,0,0,0,0
4025401,134,1,1,2,3
4032343,68,2,0,1,1
4034296,97,22,0,9,7
4047606,182,5,3,4,8
4050136,73,2,0,0,0
4074048,42,6,0,3,1
4075598,127,6,1,4,2
4079242,222,8,2,7,6
4083089,82,1,2,1,1
4125412,183,11,3,9,11
4130707,68,4,1,3,3
4130722,23,2,0,2,3
4130740,99,3,2,2,3
4130748,29,0,0,0,0
4130791,11,2,0,0,0
4136181,154,2,2,13,7
4138164,165,2,2,3,3
4138664,12,3,0,0,0
4170262,96,0,1,0,1
4177031,199,12,1,5,3
4183205,180,4,6,7,5
4184581,137,2,1,1,1
4184789,72,1,0,0,2
4187864,15,3,0,1,1
4189746,13,0,0,0,0
4216480,15,2,0,0,0
4234269,30,1,0,1,1
4234281,13,0,1,0,0
4234282,12,1,0,1,1
4234284,34,2,0,3,2
4234288,61,2,1,5,6
4234324,129,1,1,0,1
4234329,7,0,0,1,1
4234612,222,2,0,5,4
4252261,89,0,0,0,0
4306637,40,0,0,1,1
4326618,37,0,0,0,0
4385855,70,9,0,9,3
4386752,75,5,0,5,5
4386853,9,0,0,0,0
4386871,4,1,0,0,0
4386914,11,1,0,0,1
4386915,11,0,0,0,0
4386918,6,0,0,0,0
4394019,80,3,0,5,2
4412069,46,4,0,3,3
4432067,66,4,0,3,4
4447762,98,8,2,13,8
4457513,55,1,0,1,0
4460829,128,8,1,8,7
4461267,94,5,0,6,4
4511905,175,2,2,9,3
4514828,115,6,1,5,5
4528663,28,3,0,1,2
4568473,168,2,1,2,1
4581159,222,6,1,3,3
4590441,160,8,2,6,4
4618781,175,3,1,1,2
4627974,158,6,2,3,5
4645281,63,2,4,0,3
4646031,109,7,0,3,2
4685500,106,14,1,14,13
4700308,108,6,2,6,10
4714255,119,8,2,9,9
4729639,131,7,2,10,8
4739424,93,1,0,0,0
4744837,130,1,1,2,1
4769119,111,7,1,7,11
4775873,57,2,0,3,3
4776091,130,5,1,4,5
4793260,6,0,0,0,0
4793284,53,4,0,8,6
4795732,112,4,1,10,5
4817321,22,1,1,1,3
4818321,26,1,0,0,0
4837653,4,2,0,0,1
4854547,138,9,2,8,6
4860547,86,3,0,4,1
4889812,20,1,0,1,0
4912718,144,6,1,5,3
4982920,150,6,1,4,2
5040170,180,5,3,4,2
5052439,125,1,4,7,4
5105466,133,3,0,3,3
5136912,101,5,1,6,6
5178120,147,13,1,10,11
5182634,17,0,0,0,0
5194069,253,16,7,15,10
5241472,53,0,0,2,0
5243435,147,4,2,2,6
5252832,61,4,0,0,0
5317213,233,6,0,6,4
5360854,110,0,1,3,2
5407724,89,0,1,1,2
5446595,55,5,0,6,5
5454934,75,4,1,1,2
5631566,54,3,0,1,0
5651714,95,6,1,4,2
5664206,83,8,0,6,4
5685564,218,15,3,12,14
5696440,175,5,4,11,10
5743755,192,8,2,4,8
5749823,48,9,2,7,9
5749836,214,6,1,5,6
5749837,17,1,0,2,3
5749879,40,4,1,4,3
5778052,75,1,1,2,4
5848832,209,17,1,6,4
5869241,142,1,2,5,3
5909003,93,3,0,4,4
5922426,83,7,0,9,8
5935714,130,3,2,5,7
5937919,61,4,2,5,6
5978888,165,0,5,4,4
6040309,10,2,0,1,1
6040325,7,1,0,0,0
6040368,7,0,0,0,0
6040392,59,5,0,2,2
6040397,4,0,0,0,0
6185849,21,2,1,0,1
6236193,76,0,2,2,4
6245313,11,1,0,0,1
6315232,156,5,0,4,4
6336365,185,26,2,16,13
6340185,101,5,0,1,2
6572083,51,1,0,2,0
6572101,18,2,0,4,2
6572119,281,4,1,4,2
6572140,4,0,0,2,0
6572142,6,0,0,0,0
6572171,7,0,1,0,1
6753356,91,1,1,0,2
6879837,49,3,1,1,3
6952658,83,2,1,2,1
6990030,23,1,1,4,4
7257052,134,5,5,5,6
7264747,92,6,1,6,3
7332729,145,1,2,3,2
7375691,40,1,1,1,3
7375699,13,2,0,1,1
7375712,48,4,0,6,5
7375715,11,4,0,3,3
7375726,13,3,0,1,1
7375728,12,0,0,0,0
7375746,14,2,0,0,0
7375758,9,1,0,1,0
7375776,48,1,1,0,2
7397330,121,0,4,2,3
7443011,225,9,6,3,6
7474475,143,9,2,15,15
7477328,93,2,2,2,3
7494963,192,6,2,3,1
7510364,74,1,0,1,1
7550643,57,2,0,0,0
7608899,182,6,1,10,12
7635571,85,0,0,2,0
7649577,80,6,5,8,9
7757604,111,2,3,3,6
7770311,6,0,0,1,1
7770312,2,1,0,1,1
7770336,4,0,0,1,1
7770359,13,0,0,0,0
7770380,14,2,0,1,2
7770386,12,3,0,2,3
7770391,15,0,0,1,1
7770403,38,4,0,3,3
7788355,165,7,0,8,7
7794948,230,5,8,5,9
7820922,109,3,2,7,6
7826443,117,0,0,1,2
7892442,49,0,0,2,2
8111350,58,3,3,1,4
8199251,87,4,3,4,5
8244250,43,0,0,0,0
8259858,200,11,4,7,8
8260388,75,0,1,0,0
8279378,79,6,0,3,3
8505797,91,0,1,0,4
8525332,175,1,2,1,4
8579437,90,3,1,2,5
8723181,2,0,0,0,0
8905672,84,9,2,6,4
8961745,103,7,1,5,3
9047901,28,0,0,3,0
9196906,141,6,1,2,1
9290857,86,3,2,4,10
9377665,24,1,1,1,1
9446828,131,3,4,3,5
9541994,101,6,1,6,6
9938986,45,0,1,2,1
9939025,8,1,1,1,1
9939030,6,0,0,0,0
9939056,97,8,1,1,1
10203857,63,7,0,3,2
10203859,10,0,0,0,0
10203885,28,2,0,0,0
10203911,3,0,0,0,0
10203930,47,1,0,2,0
10221985,65,4,0,4,2
10232391,29,2,0,2,1
10254102,31,0,0,0,0
10289642,34,2,0,1,1
10305846,134,5,1,5,3
10312212,89,14,1,10,10
10336538,164,6,2,6,8
10412131,65,2,0,2,1
10427914,48,2,0,3,3
10435023,136,11,1,17,14
10534275,59,6,0,4,4
10549695,142,7,0,6,4
10582065,71,0,0,1,2
10611417,10,0,0,0,0
10611448,5,0,0,0,0
10672617,75,2,1,2,2
10697179,256,5,7,5,15
10795588,174,3,2,2,2
10827481,20,0,0,3,1
10829942,156,2,3,7,9
10856439,115,2,1,3,3
10869554,152,6,0,3,0
10871763,164,7,1,5,5
10915830,104,4,1,3,3
10942030,122,3,3,5,9
10975719,74,8,1,6,5
11062132,80,2,1,2,4
11080007,11,1,0,0,0
11080020,19,7,0,3,4
11080056,5,1,0,0,0
11080059,6,1,0,1,1
11080062,5,0,0,0,1
11080070,15,1,0,0,1
11080073,12,0,0,0,0
11080103,7,1,1,2,1
11112539,21,0,0,1,0
11207998,155,7,1,7,11
11215896,52,2,0,3,0
11267295,74,5,0,2,2
11272839,95,1,0,0,1
11284813,62,3,2,2,2
11351370,158,5,6,6,8
11436874,60,4,1,2,1
11481674,88,6,1,3,5
11487183,14,1,0,1,0
11493665,28,3,0,0,3
11521690,15,0,0,1,1
11573189,97,3,0,1,3
11591490,74,3,1,2,4
11606924,19,1,0,0,0
11623993,240,10,2,4,6
11626803,98,2,0,2,0
11654130,186,5,2,5,3
11695683,139,5,2,7,5
11704917,36,0,0,3,0
11790703,5,0,0,0,0
11790714,13,2,0,0,0
11790735,46,6,0,3,1
11833070,164,10,2,13,14
11979363,82,0,0,1,2
12025885,105,5,2,8,6
12029582,80,6,0,2,3
12079561,22,1,0,1,1
12266218,47,1,0,0,1
12324243,10,2,1,1,1
12402009,165,4,5,5,7
12565908,169,5,2,5,5
12653120,77,4,1,4,5
12772859,92,0,0,0,0
12785148,20,5,0,3,4
