User_id,Total_Relevant_Books,Overlap_Rec_CB_Only,Overlap_Rec_CF_Only,Overlap_Rec_CB_Filtered_by_CF,Overlap_Rec_By_Multiplying_Scores
10378,126,0,2,0,1
11481,83,0,4,5,4
20787,137,4,2,3,4
23760,131,3,1,7,3
26259,196,0,4,0,3
34033,148,2,1,4,5
43247,114,2,3,4,5
66547,98,1,3,2,4
71171,217,4,5,7,8
101545,178,3,6,2,6
103070,89,3,3,2,4
110433,60,3,0,3,1
111076,94,10,4,9,8
111921,204,1,5,4,3
122317,170,6,8,3,5
126589,161,2,3,4,2
133714,59,1,0,1,0
138010,195,11,4,11,9
146952,117,1,0,2,1
148723,153,0,1,5,3
151241,108,1,1,1,0
168143,126,2,2,1,0
168384,5,1,0,0,0
168387,66,3,0,4,2
168421,5,0,0,0,0
168445,18,5,0,1,1
180115,195,4,5,2,5
190396,96,0,1,5,6
204148,94,2,1,3,1
214053,139,3,0,3,2
216457,99,7,2,4,1
267879,11,0,0,0,0
270222,115,4,4,6,4
278701,260,6,6,3,14
279192,118,1,4,2,3
280132,9,0,0,0,0
288297,41,0,1,0,0
296746,121,0,0,1,1
314156,98,4,3,4,4
369169,45,5,0,6,3
371167,81,3,0,3,4
382032,48,1,0,1,0
382208,175,4,2,8,4
402223,64,2,3,4,5
405390,151,1,1,2,1
406272,74,2,0,1,0
410704,14,2,0,2,4
413438,126,1,1,0,0
436416,95,3,1,3,5
445457,17,0,0,1,1
445497,7,1,0,0,2
470851,35,7,0,7,7
564449,162,3,4,2,4
569116,35,0,2,0,2
608412,227,3,1,2,2
614027,6,0,0,0,0
614053,27,0,0,0,0
614079,21,1,0,1,1
632373,87,3,1,4,4
641112,190,13,3,12,13
668844,41,7,1,5,2
686207,105,4,2,5,3
692133,92,0,4,2,3
711115,233,5,3,3,3
799904,201,11,9,4,11
855698,41,5,0,4,4
860470,67,5,0,2,5
860480,51,1,3,2,2
860509,21,2,0,1,1
897583,153,4,5,2,5
921003,250,12,6,10,17
925540,68,0,2,0,2
1016626,60,0,0,1,1
1022175,47,5,0,4,1
1023916,66,4,1,1,1
1029975,165,10,5,11,11
1032237,52,8,0,7,6
1043486,12,0,0,0,0
1047783,144,2,1,1,3
1049154,117,5,5,2,3
1060805,189,3,6,2,6
1072582,72,4,0,1,1
1090335,76,4,2,1,2
1093212,184,6,3,6,5
1107219,72,8,1,4,4
1128612,81,3,6,1,0
1131400,163,2,0,6,1
1147841,191,0,0,0,0
1159765,24,1,0,0,0
1185451,141,2,0,2,4
1199295,148,6,4,5,8
1202013,10,2,0,2,1
1209800,145,2,3,5,2
1220877,87,1,1,3,3
1223383,172,1,2,2,3
1223795,65,5,1,3,2
1226397,28,2,1,2,1
1234561,6,0,0,1,0
1235793,236,8,6,6,7
1241339,68,0,0,1,0
1245002,151,5,5,6,6
1245094,240,4,3,7,3
1250107,117,0,0,0,0
1260880,3,0,0,0,0
1262683,120,1,0,2,3
1291915,60,2,2,2,3
1296719,72,2,2,1,2
1302775,157,4,3,4,6
1325473,85,2,1,3,2
1330063,102,1,3,2,1
1331641,30,0,0,0,0
1336770,72,1,0,1,1
1343864,116,3,4,2,4
1352208,69,3,3,2,2
1372915,79,4,5,3,5
1378745,130,3,2,3,2
1380029,172,4,0,5,2
1394424,15,2,0,0,0
1406509,45,1,1,2,3
1412404,39,4,1,3,1
1418580,156,2,4,2,5
1426205,34,2,0,0,0
1436215,87,4,1,8,7
1443670,84,1,1,1,1
1453376,120,12,0,12,7
1493796,7,0,0,0,0
1494253,154,6,0,4,3
1520077,122,4,3,4,4
1533889,91,7,3,11,6
1552680,16,1,0,0,0
1570073,14,0,0,0,0
1570669,92,1,1,1,4
1583745,20,2,0,0,0
1584031,79,10,2,9,5
1617945,137,1,0,4,0
1653329,21,1,0,2,2
1656405,82,1,0,5,3
1663300,41,1,0,1,1
1710139,125,4,2,1,3
1720620,94,7,1,4,2
1745255,93,1,5,3,4
1772954,160,0,2,4,6
1774372,84,6,1,8,3
1787686,126,6,3,6,7
1794132,150,2,5,2,5
1794273,121,2,1,2,2
1810079,185,4,1,3,3
1817562,138,14,3,13,11
1818854,149,1,3,1,0
1842059,177,8,1,9,4
1844266,110,0,0,1,1
1856047,49,3,0,0,0
1861778,250,3,6,1,7
1863589,184,13,4,10,8
1880531,169,10,4,10,9
1882027,81,12,2,5,4
1891730,67,0,2,14,6
1898820,132,1,6,3,6
1908059,72,3,1,4,3
1913145,150,5,5,5,8
1924043,59,3,0,2,1
1924495,77,0,0,0,0
1929922,40,3,1,2,2
1950510,169,0,4,1,1
1962503,74,3,0,3,1
1964421,203,2,1,2,2
1969584,31,0,0,0,0
1974093,174,1,2,0,3
1983856,19,0,0,1,0
1991707,90,8,0,5,4
2014482,28,0,0,0,0
2014500,18,1,0,0,0
2018505,135,9,2,9,6
2034390,44,1,0,0,0
2054116,25,1,0,2,2
2082345,168,6,1,3,3
2095173,139,6,0,9,8
2095931,101,12,2,11,9
2097476,68,1,0,0,1
2099479,22,1,0,3,2
2099671,161,4,0,2,1
2109885,145,2,0,9,3
2128827,69,0,1,0,1
2143854,19,3,1,2,3
2143983,168,2,0,3,1
2146364,17,0,0,0,0
2148960,187,2,4,4,2
2151106,75,5,5,8,8
2155177,155,2,3,0,4
2165551,61,2,1,0,0
2169751,89,1,1,2,2
2169934,22,0,0,0,0
2178074,215,4,2,6,6
2182793,65,2,2,1,2
2190636,87,1,0,3,0
2209138,17,1,0,2,4
2231715,103,1,0,0,1
2251204,136,2,4,2,4
2293690,157,12,2,9,9
2294090,138,4,1,1,0
2308548,80,5,2,1,2
2313194,101,6,2,1,2
2314568,58,2,0,3,0
2326664,103,8,0,7,5
2327078,106,2,3,1,2
2344676,5,0,0,0,0
2345554,77,10,0,9,9
2351360,128,2,5,6,11
2352900,149,10,3,10,7
2355520,133,10,2,3,5
2364302,58,2,0,3,2
2369376,74,7,0,8,4
2386804,55,4,0,2,1
2406353,184,2,2,1,0
2414546,133,2,4,7,3
2424668,161,5,1,5,2
2437247,116,3,4,1,3
2458751,165,5,2,3,2
2467655,103,3,2,3,3
2489609,28,1,0,0,0
2514526,205,3,0,3,1
2519765,92,3,1,3,3
2530071,83,3,0,0,2
2538041,121,5,3,3,4
2541133,112,8,1,2,1
2544368,49,4,0,3,1
2570153,15,1,0,1,1
2606150,63,2,0,3,3
2609870,160,9,0,5,4
2614673,131,8,2,6,5
2617038,91,4,1,1,1
2626261,193,15,1,12,7
2641583,14,1,0,1,1
2655372,214,3,6,5,9
2657711,36,5,0,5,3
2676031,6,0,0,0,0
2686254,3,0,0,0,0
2688255,94,1,3,1,1
2692073,14,2,0,0,0
2714432,27,2,0,1,0
2715018,139,4,2,0,0
2719644,114,1,4,0,1
2745288,40,1,0,2,2
2793945,146,5,5,6,6
2795921,156,3,7,2,3
2833624,71,0,2,0,1
2841223,51,4,0,5,4
2861703,65,0,2,1,1
2867944,88,2,0,0,1
2902491,35,1,1,1,1
2907291,248,10,7,17,16
2942168,125,6,6,8,7
2949869,55,9,0,7,4
2950662,149,1,3,5,7
2954717,98,16,0,9,9
2969647,159,2,1,1,2
2978148,159,3,7,5,9
2981158,4,3,0,0,1
2989013,9,0,0,0,0
2990442,10,0,0,1,1
2993837,115,3,4,2,4
3007761,13,1,0,0,0
3031302,86,0,1,2,0
3039709,171,1,3,1,1
3053000,30,2,2,2,3
3079764,35,0,0,0,0
3106785,175,3,4,4,4
3107113,139,5,8,4,8
3110814,155,9,3,7,4
3122452,136,6,4,6,6
3166645,42,1,0,1,0
3172249,18,0,0,0,0
3188553,198,4,4,7,3
3192797,168,1,8,2,6
3192922,48,1,0,2,0
3222333,39,1,0,2,1
3229028,27,0,0,0,0
3237560,161,3,2,2,2
3252035,25,0,0,0,0
3286370,177,8,2,4,5
3303646,75,1,0,0,1
3304052,162,13,6,12,11
3318055,83,3,2,2,1
3333943,186,9,6,13,13
3336334,6,2,0,0,0
3336420,13,0,0,0,0
3350026,179,0,5,4,8
3350076,207,8,4,6,6
3350416,45,2,0,1,0
3354851,99,0,2,2,1
3356446,80,2,0,2,4
3363188,135,0,2,4,2
3396025,175,14,4,6,6
