User_id,Total_Relevant_Books,Overlap_Rec_CB_Only,Overlap_Rec_CF_Only,Overlap_Rec_CB_Filtered_by_CF,Overlap_Rec_By_Multiplying_Scores
10378,123,0,1,0,1
11481,87,0,3,1,0
20787,139,2,2,0,3
23760,132,0,2,1,0
26259,204,0,1,0,1
34033,151,1,3,0,1
43247,110,1,2,0,0
66547,96,2,3,2,1
71171,217,0,6,1,1
101545,172,0,7,0,0
103070,91,1,2,0,0
110433,58,2,0,1,1
111076,93,0,0,0,0
111921,199,0,3,2,1
122317,173,1,5,0,1
126589,160,1,2,2,2
133714,56,0,0,0,0
138010,191,1,4,2,3
146952,111,1,0,2,1
148723,148,2,1,2,2
151241,113,1,1,2,1
168143,126,2,0,0,0
168384,5,0,0,0,0
168387,67,2,0,0,1
168421,5,0,0,0,0
168445,18,1,0,0,0
180115,195,0,4,1,0
190396,97,1,4,1,1
204148,92,0,0,0,1
214053,140,1,0,1,2
216457,99,0,1,1,0
267879,10,0,1,0,0
270222,114,0,1,0,0
278701,253,0,9,3,4
279192,113,0,1,0,0
280132,9,0,0,0,0
288297,39,0,2,0,0
296746,120,1,0,1,1
314156,99,1,0,1,1
369169,44,0,1,0,0
371167,81,1,0,0,0
382032,54,1,1,2,1
382208,179,1,7,1,2
402223,64,0,2,0,0
405390,152,1,1,3,1
406272,74,0,1,2,1
410704,14,0,0,0,0
413438,126,0,2,0,0
436416,96,0,6,0,1
445457,17,0,0,0,0
445497,7,0,0,1,1
470851,35,0,0,1,0
564449,161,3,5,2,3
569116,33,0,0,0,0
608412,229,0,3,3,1
614027,6,0,1,0,0
614053,27,0,0,0,0
614079,21,0,0,1,1
632373,90,1,1,1,1
641112,192,2,5,0,1
668844,43,1,3,2,0
686207,107,3,0,4,4
692133,93,2,1,0,1
711115,232,2,3,4,3
799904,192,0,7,0,0
855698,41,1,0,2,1
860470,66,0,0,0,0
860480,51,0,2,0,0
860509,22,0,1,0,0
897583,147,0,2,0,0
921003,248,3,5,6,3
925540,65,0,2,0,0
1016626,62,2,0,0,0
1022175,49,1,0,1,0
1023916,65,1,2,2,0
1029975,165,0,3,1,0
1032237,52,3,0,1,1
1043486,12,0,0,0,0
1047783,145,2,0,1,2
1049154,119,1,5,1,2
1060805,190,1,4,0,0
1072582,73,0,3,0,0
1090335,75,2,1,2,3
1093212,182,0,5,2,1
1107219,75,2,0,2,3
1128612,81,0,1,1,0
1131400,168,1,1,2,1
1147841,196,0,0,0,0
1159765,25,0,0,0,0
1185451,143,2,2,3,3
1199295,153,0,2,1,0
1202013,10,0,0,0,0
1209800,152,2,3,2,3
1220877,87,1,1,1,1
1223383,176,1,0,0,0
1223795,73,1,2,1,0
1226397,28,0,0,0,0
1234561,6,0,0,0,0
1235793,242,1,4,2,2
1241339,66,3,0,2,3
1245002,151,0,3,1,1
1245094,239,0,1,0,0
1250107,114,0,0,0,0
1260880,4,0,0,0,0
1262683,124,3,1,2,3
1291915,60,0,1,0,0
1296719,71,1,0,2,2
1302775,161,1,4,1,2
1325473,85,2,1,1,3
