User_id,Total_Relevant_Books,Overlap_Rec_CB_Only,Overlap_Rec_CF_Only,Overlap_Rec_CB_Filtered_by_CF,Overlap_Rec_By_Multiplying_Scores
10378,125,0,0,1,1
11481,83,2,2,2,2
20787,140,4,3,4,6
23760,131,6,0,2,1
26259,187,1,3,2,1
34033,153,3,2,4,7
43247,110,3,1,2,3
66547,98,5,2,4,9
71171,212,4,4,9,5
101545,178,2,2,3,9
103070,85,3,1,5,3
110433,57,1,2,2,2
111076,88,8,0,3,2
111921,195,1,2,1,3
122317,169,5,4,3,5
126589,164,2,7,5,9
133714,57,2,1,2,2
138010,193,6,2,8,8
146952,110,5,0,2,2
148723,151,9,1,6,7
151241,108,2,3,2,2
168143,127,1,1,1,1
168384,5,0,0,1,1
168387,67,5,1,7,1
168421,5,1,0,0,0
168445,19,0,0,1,1
180115,195,4,3,6,7
190396,96,6,5,2,4
204148,91,3,1,5,6
214053,140,6,0,7,5
216457,99,5,2,5,4
267879,12,0,0,0,0
270222,115,4,3,1,4
278701,255,9,9,6,9
279192,119,4,4,4,3
280132,9,0,0,0,0
288297,37,2,0,1,1
296746,115,0,0,0,0
314156,99,3,3,3,3
369169,45,5,0,2,4
371167,83,1,0,1,0
382032,55,1,0,2,2
382208,173,6,3,4,5
402223,64,2,2,3,4
405390,152,1,0,0,2
406272,69,3,1,3,3
410704,14,2,0,1,1
413438,126,2,2,0,1
436416,97,5,4,7,8
445457,17,0,0,1,1
445497,7,2,0,1,2
470851,35,10,0,10,11
564449,162,4,2,3,5
569116,33,3,0,1,1
608412,230,2,1,2,4
614027,6,0,1,0,0
614053,27,0,0,1,0
614079,21,1,1,0,1
632373,93,7,0,6,7
641112,191,10,3,9,12
668844,42,4,0,3,2
686207,106,4,1,7,5
692133,90,3,0,4,4
711115,232,6,4,6,5
799904,194,8,6,9,11
855698,41,2,1,1,2
860470,62,7,0,3,8
860480,51,0,1,0,1
860509,19,3,1,2,2
897583,149,5,3,5,4
921003,253,16,12,13,22
925540,64,0,2,0,3
1016626,60,1,0,0,0
1022175,48,3,1,1,2
1023916,66,1,1,1,1
1029975,165,9,4,11,10
1032237,49,5,0,5,6
1043486,12,1,0,0,1
1047783,145,2,2,2,3
1049154,121,2,2,4,3
1060805,192,2,4,3,6
1072582,71,8,3,1,4
1090335,73,2,1,3,3
1093212,185,2,4,5,6
1107219,79,7,0,7,7
1128612,81,2,2,2,2
1131400,162,0,0,6,2
1147841,193,0,1,0,1
1159765,25,1,0,1,0
1185451,140,1,1,1,1
1199295,151,5,3,9,8
1202013,10,0,0,0,0
1209800,148,8,1,5,4
1220877,87,2,1,3,2
1223383,173,2,2,1,3
1223795,69,6,2,5,4
1226397,27,0,0,1,1
1234561,6,0,0,0,0
1235793,238,13,4,8,11
1241339,67,2,0,1,1
1245002,155,3,5,11,9
1245094,239,8,5,7,4
1250107,117,0,0,0,0
1260880,3,0,0,0,0
1262683,119,7,2,2,3
1291915,60,1,0,1,0
1296719,72,3,0,2,2
1302775,156,8,4,5,7
1325473,82,4,0,4,3
1330063,102,1,1,0,3
1331641,31,0,0,0,0
1336770,67,3,2,2,2
1343864,117,2,5,3,6
1352208,72,1,1,4,4
1372915,82,2,3,3,4
1378745,130,2,2,2,4
1380029,171,3,1,2,2
1394424,15,2,0,1,2
1406509,46,2,0,4,1
1412404,37,0,0,1,0
1418580,157,4,2,4,4
1426205,33,0,0,0,0
1436215,86,2,1,6,7
1443670,86,1,0,0,0
1453376,124,14,0,13,8
1493796,7,2,0,0,1
1494253,154,6,2,4,8
1520077,122,4,2,4,4
1533889,91,10,2,5,8
1552680,16,1,0,1,1
1570073,14,0,0,1,0
1570669,98,2,0,2,3
1583745,20,2,0,1,1
1584031,73,9,1,6,5
1617945,135,3,0,2,1
1653329,20,1,0,0,0
1656405,85,2,0,6,3
1663300,41,1,0,1,0
1710139,123,3,0,2,2
1720620,93,8,1,2,1
1745255,90,2,0,4,2
1772954,161,2,1,5,5
1774372,84,15,1,7,6
1787686,120,6,0,6,2
1794132,147,1,3,0,4
1794273,119,5,0,3,3
1810079,188,5,3,8,5
1817562,142,8,4,13,15
1818854,155,0,2,4,4
1842059,177,7,0,9,6
1844266,111,0,2,0,2
1856047,52,1,1,0,2
1861778,245,3,8,2,10
1863589,186,15,4,12,13
1880531,171,6,4,13,12
1882027,81,8,1,5,2
1891730,70,17,0,11,13
1898820,124,4,2,2,4
1908059,69,3,1,1,1
1913145,148,10,5,6,10
1924043,60,4,0,5,4
1924495,70,0,0,0,0
1929922,40,0,0,5,3
1950510,164,2,3,1,4
1962503,72,2,0,2,0
1964421,197,3,0,4,4
1969584,28,0,1,0,1
1974093,180,2,5,0,7
1983856,20,3,0,2,2
1991707,91,4,0,2,2
2014482,26,1,0,0,0
2014500,20,1,1,1,1
2018505,135,7,7,6,6
2034390,56,0,1,0,1
2054116,24,2,0,3,1
2082345,169,7,3,6,6
2095173,143,6,3,9,8
2095931,101,5,3,6,9
2097476,76,1,0,1,0
2099479,22,3,0,1,1
2099671,166,2,4,3,5
2109885,148,4,1,5,6
2128827,68,0,0,0,0
2143854,20,1,0,3,2
2143983,168,2,0,3,3
2146364,17,1,0,1,1
2148960,183,4,1,3,5
2151106,76,1,3,6,4
2155177,166,1,2,2,5
2165551,61,1,0,1,1
2169751,91,2,1,1,2
2169934,22,0,0,0,0
2178074,221,2,7,2,6
2182793,66,3,0,2,1
2190636,88,1,0,2,3
2209138,19,0,0,1,1
2231715,108,3,1,1,2
2251204,135,4,5,5,10
2293690,168,8,2,7,12
2294090,137,3,1,1,1
2308548,81,3,5,2,8
2313194,98,4,1,4,2
2314568,60,1,1,3,1
2326664,104,11,0,9,7
2327078,112,3,1,3,2
2344676,7,0,0,0,0
2345554,77,9,2,8,5
2351360,134,6,7,6,12
2352900,158,8,3,11,8
2355520,133,5,1,5,4
2364302,59,1,0,3,2
2369376,74,3,1,4,7
2386804,55,5,0,4,3
2406353,184,5,1,3,3
2414546,135,0,3,2,4
2424668,165,5,1,3,2
2437247,116,3,4,2,2
2458751,167,2,2,2,4
2467655,102,2,0,0,3
2489609,30,1,0,1,1
2514526,204,6,3,7,5
2519765,96,6,3,4,4
2530071,84,1,0,2,3
2538041,122,4,2,3,6
2541133,110,1,3,2,3
2544368,48,3,0,2,1
2570153,15,0,0,1,1
2606150,66,0,1,1,0
2609870,165,11,1,5,5
2614673,131,7,4,6,10
2617038,89,1,2,0,1
2626261,193,18,0,11,9
2641583,11,0,0,0,0
2655372,218,1,3,5,6
2657711,34,0,0,1,1
2676031,6,0,0,0,0
2686254,4,0,0,0,0
2688255,94,2,1,3,1
2692073,14,0,1,0,0
2714432,24,0,0,0,2
2715018,135,4,1,4,2
2719644,110,1,3,1,4
2745288,41,0,2,0,2
2793945,152,6,3,7,6
2795921,161,7,10,3,12
2833624,68,0,1,1,2
2841223,52,2,0,2,0
2861703,63,0,0,0,1
2867944,91,3,3,4,5
2902491,35,0,0,1,1
2907291,245,17,7,15,12
2942168,136,2,2,8,4
2949869,54,7,0,5,4
2950662,155,9,2,13,10
2954717,99,10,0,12,12
2969647,158,4,0,3,1
2978148,166,4,5,4,6
2981158,4,4,0,0,3
2989013,9,1,0,1,1
2990442,10,0,1,0,0
2993837,116,2,2,5,2
3007761,13,1,0,2,2
3031302,97,1,4,1,6
3039709,177,2,0,1,1
3053000,30,2,0,1,2
3079764,35,0,1,1,1
3106785,174,3,5,2,5
3107113,138,6,3,3,6
3110814,156,10,5,7,8
3122452,133,4,0,4,4
3166645,41,0,0,0,0
3172249,17,0,0,0,0
3188553,198,2,1,8,4
3192797,174,1,4,4,9
3192922,50,0,2,3,2
3222333,36,0,0,0,0
3229028,28,0,0,0,0
3237560,160,1,2,2,3
3252035,23,0,1,0,0
3286370,179,5,0,7,2
3303646,79,1,0,3,5
3304052,168,11,2,10,5
3318055,84,1,0,1,0
3333943,185,9,1,8,7
3336334,6,0,0,0,0
3336420,10,0,0,0,0
3350026,173,3,7,0,3
3350076,208,7,4,6,7
3350416,44,0,1,1,2
3354851,97,0,2,1,4
3356446,81,1,4,2,6
3363188,139,1,2,5,4
3396025,171,14,6,7,6
3398611,65,4,1,6,6
3414637,51,4,1,5,3
3416893,166,8,5,11,9
3431327,112,5,5,4,4
3438047,143,23,1,11,12
3440334,181,3,2,4,7
3452993,121,7,6,13,15
3453249,131,7,1,2,2
3454421,8,0,0,0,0
3454474,49,1,1,1,0
3555103,191,1,5,3,5
3577919,64,1,2,2,4
3593554,120,6,0,3,3
3615215,91,3,1,4,4
3648871,71,1,2,2,4
3658457,63,1,0,1,1
3660666,76,1,1,1,1
3686683,43,4,1,3,1
3695758,177,3,6,10,8
3772692,71,5,2,6,6
3773399,39,3,0,3,5
3793080,122,5,3,9,6
3796959,73,9,1,8,9
3809685,47,2,0,3,0
3816725,182,2,2,0,2
3825460,108,3,1,8,4
3839010,124,3,1,2,6
3846743,91,2,0,3,2
