,titles_authors
0,"[""it's not about me, max lucado"", 'to the bighorns, b.n. rundell', 'toy story, walt disney company', 'the intern, volume 2, brooke cumberland', 'the recruiter, roger weston', 'a tropical frontier, tim robinson', 'batman, doug moench', 'martin luther, martin luther', 'terry pratchett, terry pratchett', 'the holy bible, anonymous', 'where are you going, where have you been?, joyce carol oates', 'sin city, frank miller', 'el extraño caso del doctor jekyll y mr. hyde y otros relatos de terror, robert louis stevenson', 'flow my tears, the policeman said, philip k. dick', 'transformed, suzanne falter', 'not a book, not a book', 'thor, jason aaron', 'sueños de cristal, araceli samudio', 'inferno, expert book reviews', 'moby dick, herman melville', 'chicken soup for the soul, jack canfield', 'semina il vento, alessandro perissinotto', 'to the cache la poudre, b.n. rundell', 'not another thug story 3, desiree m. granger']"
1,"['practical paleo, diane sanfilippo', 'eating on the wild side, jo robinson', 'the happy herbivore cookbook, lindsay s. nixon', 'the skinnytaste cookbook, gina homolka', 'on vegetables, jeremy fox', 'the cooking gene, michael w. twitty', 'veganomicon, isa chandra moskowitz', 'nourishing traditions, sally fallon morell', 'salt, fat, acid, heat, samin nosrat', 'local flavors, deborah madison', 'the kind diet, alicia silverstone', 'deceptively delicious, jessica seinfeld', 'how to cook a wolf, m.f.k. fisher', 'it starts with food, dallas hartwig', 'the plant-powered diet, sharon palmer', 'cook this, not that!, david zinczenko', 'consider the oyster, m.f.k. fisher', 'hungry monkey, matthew amster-burton', 'skinny bitch, rory freedman', 'love real food, kathryne taylor', 'the oh she glows cookbook, angela liddon', 'the best life diet, bob greene', 'the art of eating in, cathy erway', 'skinnytaste meal prep, gina homolka', 'fat of the land, langdon cook', 'french kids eat everything, karen le billon', 'forks over knives, gene stone', 'being dead is no excuse, gayden metcalfe', ""french women don't get fat, mireille guiliano"", 'real food/fake food, larry olmsted', 'ingredient, ali bouzari', 'the starch solution, john a. mcdougall', 'food pharmacy, lina nertby aurell', 'bread and wine, shauna niequist', 'food, health and happiness, oprah winfrey', 'against all grain, danielle walker', 'an everlasting meal, tamar adler', 'the first forty days, heng ou', 'whole new you, tia mowry', 'eating the alphabet, lois ehlert', 'the third plate, dan barber', '12 steps to raw foods, victoria boutenko', 'vegetarian cooking for everyone, deborah madison', 'my kitchen year, ruth reichl', 'happy herbivore holidays & gatherings, lindsay s. nixon', 'alone in the kitchen with an eggplant, jenni ferrari-adler', 'how to create a vegan world, tobias leenaert', 'the pioneer woman cooks, ree drummond', 'everyday happy herbivore, lindsay s. nixon', 'the whole30, melissa urban', 'taste of home, janet briggs', 'the 4-hour chef, timothy ferriss', 'the 17 day diet, mike moreno', 'the engine 2 diet, rip esselstyn', 'the south beach diet supercharged, arthur agatston', 'how to boil water, jennifer darling', 'joy of cooking, irma s. rombauer', 'diane mott davidson recipe sampler with an excerpt from the whole enchilada, diane mott davidson']"
2,"['the outside boy, jeanine cummins', 'transatlantic, colum mccann', 'a star called henry, roddy doyle', 'long island, colm tóibín', 'the magdalen girls, v.s. alexander', 'the crooked branch, jeanine cummins', '1916, morgan llywelyn', 'death and nightingales, eugene mccabe', 'love and summer, william trevor', ""star of the sea, joseph o'connor"", 'the good people, hannah kent', 'the story of lucy gault, william trevor', 'the misremembered man, christina mckenna', 'redemption, leon uris', 'a long long way, sebastian barry']"
3,"['white crow, marcus sedgwick', 'the last tale of the flower bride, roshani chokshi', 'rain, v.c. andrews', 'down a dark hall, lois duncan', 'dawn, v.c. andrews', 'if there be thorns, v.c. andrews', ""five nights at freddy's, scott cawthon"", 'willow, v.c. andrews', 'darkest hour, v.c. andrews', 'house of secrets, darcy coates', 'seeds of yesterday, v.c. andrews', 'into the garden, v.c. andrews', 'house of roots and ruin, erin a. craig', 'midnight whispers, v.c. andrews', 'cloudburst, v.c. andrews', 'heaven, v.c. andrews', 'ruby, v.c. andrews', 'gates of paradise, v.c. andrews', 'secrets of the morning, v.c. andrews']"
4,"['book lust to go, nancy pearl', ""bryson's dictionary of troublesome words, bill bryson"", 'the sense of style, steven pinker', 'anguished english, richard lederer', 'on writing well, william zinsser', 'the elements of eloquence, mark forsyth', 'lost in translation, ella frances sanders', 'word myths, david wilton', 'the deluxe transitive vampire, karen elizabeth gordon', ""fiction writer's workshop, josip novakovich"", ""the only grant-writing book you'll ever need, ellen karsh"", 'eats, shoots & leaves, lynne truss', 'the elements of style, william strunk jr.', 'several short sentences about writing, verlyn klinkenborg', ""the copyeditor's handbook, amy einsohn"", ""elmore leonard's 10 rules of writing, elmore leonard"", 'a little book of language, david crystal', 'trucos para escribir mejor, carlos salas']"
5,"['god, victor j. stenger', 'atheist universe, david mills', 'doubt, jennifer michael hecht', 'atheism, george h. smith', 'a universe from nothing, lawrence m. krauss', 'why the world does not exist, markus gabriel', 'the moral landscape, sam harris', 'the believing brain, michael shermer', 'the blind watchmaker, richard dawkins', 'climbing mount improbable, richard dawkins', 'the great partnership, jonathan sacks', 'the end of faith, sam harris', 'the magic of reality, richard dawkins', ""the devil's delusion, david berlinski"", 'metaphysics, stephen mumford', 'the god delusion, richard dawkins', 'the portable atheist, christopher hitchens', 'science in the soul, richard dawkins', 'the varieties of scientific experience, carl sagan', 'godless, dan barker', ""a devil's chaplain, richard dawkins"", 'what i believe, bertrand russell']"
6,"['a praying life, paul e. miller', 'death by living, n.d. wilson', 'the power of a praying wife, stormie omartian', 'what does the bible really teach about homosexuality?, kevin deyoung', 'the language of god, francis s. collins', 'follow me, david platt', 'the holiness of god, r.c. sproul', 'surrender to love, david g. benner', 'humility, andrew murray', 'loving the little years, rachel jankovic', 'the songs of jesus, timothy j. keller', 'the path of loneliness, elisabeth elliot', 'the mortification of sin, john owen', 'on the incarnation, athanasius of alexandria', 'gospel fluency, jeff vanderstelt', 'hearing god, dallas willard', 'give them grace, elyse m. fitzpatrick', 'making sense of god, timothy j. keller', 'seeking refuge, stephan bauman', 'women of the word, jen wilkin', 'the savage my kinsman, elisabeth elliot', 'prayer, timothy j. keller', 'jesus storybook bible, sally lloyd-jones', 'none like him, jen wilkin', 'every good endeavor, timothy j. keller', 'enjoy your prayer life, michael reeves', 'respectable sins, jerry bridges', 'more than a carpenter, josh mcdowell', 'the jesus storybook bible, sally lloyd-jones', 'shadow of the almighty, elisabeth elliot', 'how now shall we live?, charles w. colson', 'what is the gospel?, greg gilbert', 'the divine conspiracy, dallas willard', 'multiply, francis chan', 'a chance to die, elisabeth elliot', 'romans 8-16 for you, timothy j. keller', 'culture making, andy crouch', 'emotionally healthy spirituality, peter scazzero', 'how people change, timothy s. lane', 'culture care, makoto fujimura', 'lit!, tony reinke', 'abide in christ, andrew murray', 'radical together, david platt', 'you are what you love, james k.a. smith', 'eve in exile and the restoration of femininity, rebekah merkle', 'crazy busy, kevin deyoung', 'simply christian, n.t. wright', 'parenting, paul david tripp', 'handbook of christian apologetics, peter kreeft', 'real worship, warren w. wiersbe']"
7,"[""karen's school picture, ann m. martin"", 'train i ride, paul mosier', ""karen's witch, ann m. martin"", 'cliffhanger, jacqueline wilson', 'sammy keyes and the hotel thief, wendelin van draanen', 'claudia and mean janine, ann m. martin', 'the face on the milk carton, caroline b. cooney', 'almost home, joan bauer', 'sammy keyes and the wild things, wendelin van draanen', 'smile, raina telgemeier', 'coming home, lauren brooke', 'restart, gordon korman', 'hope was here, joan bauer', 'so much to live for, lurlene mcdaniel', 'heat, mike lupica', 'the mum-minder, jacqueline wilson', 'starring tracy beaker, jacqueline wilson', ""it's not the end of the world, judy blume"", 'pictures of hollis woods, patricia reilly giff', 'the goats, brock cole', 'one for the murphys, lynda mullaly hunt', 'the honest truth, dan gemeinhart', ""karen's new year, ann m. martin"", 'double act, jacqueline wilson', 'blubber, judy blume', 'one half from the east, nadia hashimi', ""kristy's big day, ann m. martin"", 'indigo blue, cathy cassidy', 'blackbird fly, erin entrada kelly', 'flipped, wendelin van draanen', 'hoot, carl hiaasen', 'good-bye stacey, good-bye, ann m. martin', 'loser, jerry spinelli', 'picture me gone, meg rosoff', 'amber brown goes fourth, paula danziger', 'the bed and breakfast star, jacqueline wilson', ""the skin i'm in, sharon g. flake"", 'we are all made of molecules, susin nielsen', 'am i the princess or the frog?, jim benton', 'the wild one, terri farley', 'scrawl, mark shulman', 'the dare game, jacqueline wilson', 'the haymeadow, gary paulsen', 'small steps, louis sachar', 'orbiting jupiter, gary d. schmidt', 'deenie, judy blume', 'an island of our own, sally nicholls', 'jeremy fink and the meaning of life, wendy mass', 'auggie & me, r.j. palacio', 'the suitcase kid, jacqueline wilson', 'dark sunshine, terri farley', 'what janie found, caroline b. cooney', 'mockingbird, kathryn erskine', 'leap day, wendy mass', 'the illustrated mum, jacqueline wilson', 'scarlett, cathy cassidy', 'pies & prejudice, heather vogel frederick', 'ramona the brave, beverly cleary', 'feathers, jacqueline woodson', 'the secret voice of gina zhang, dori jones yang', 'surprise! surprise!, francine pascal', 'the story of tracy beaker, jacqueline wilson', 'from the mixed-up files of mrs. basil e. frankweiler, e.l. konigsburg', 'the 10 pm question, kate de goldi', 'my sister jodie, jacqueline wilson', 'chasing redbird, sharon creech', 'never do anything, ever, jim benton', 'melissa, alex gino', 'when zachary beaver came to town, kimberly willis holt', 'mr stink, david walliams', 'die wilden hühner und das glück der erde, cornelia funke', 'the worry website, jacqueline wilson', 'the penderwicks in spring, jeanne birdsall', 'homecoming, cynthia voigt', ""brian's winter, gary paulsen"", 'stargirl, jerry spinelli', 'the outcasts of 19 schuyler place, e.l. konigsburg', 'the truth about stacey, ann m. martin', 'the london eye mystery, siobhan dowd', 'pobby and dingan, ben rice', 'because of winn-dixie, kate dicamillo', 'star girl, jerry spinelli', 'charmed and dangerous, lisi harrison', 'a horse called wonder, joanna campbell', 'sleepovers, jacqueline wilson', 'rain is not my indian name, cynthia leitich smith', 'la lección de august, r.j. palacio', 'baby-sitters on board!, ann m. martin', 'best friends, francine pascal', 'bluefish, pat schmatz', 'trading faces, julia devillers', ""kristy's great idea, ann m. martin"", '365 days of wonder, r.j. palacio', 'home for the holidays, heather vogel frederick', ""karen's sleepover, ann m. martin"", 'mary anne saves the day, ann m. martin', 'out of my mind, sharon m. draper', 'the penderwicks at last, jeanne birdsall', 'the cat mummy, jacqueline wilson', 'absolutely truly, heather vogel frederick', ""let's pretend this never happened, jim benton"", 'brave, svetlana chmakova', 'extraordinário, r.j. palacio', 'whatever happened to janie?, caroline b. cooney', 'm.c. higgins, the great, virginia hamilton', 'lily alone, jacqueline wilson', ""it's like this, cat, emily cheney neville"", ""amina's voice, hena khan"", 'katy, jacqueline wilson', 'lizzie zipmouth, jacqueline wilson', 'so b. it, sarah weeks', 'wonder, r.j. palacio', 'utterly me, clarice bean, lauren child', 'shingaling, r.j. palacio', 'lost in the sun, lisa graff', 'achtste-groepers huilen niet, jacques vriens']"
8,"['vox, christina dalcher', 'the natural way of things, charlotte wood', 'the testaments, margaret atwood', 'die wand, marlen haushofer', 'the road, cormac mccarthy', 'when she woke, hillary jordan', '1984, michael dean', '1984, sparknotes', 'the unit, ninni holmqvist', 'der report der magd, margaret atwood', 'la strada, cormac mccarthy', 'i who have never known men, jacqueline harpman', 'the wall, marlen haushofer', ""il racconto dell'ancella, margaret atwood"", 'el cuento de la criada, margaret atwood']"
9,"['murder on the nile, agatha christie', 'death comes as the end, agatha christie', 'unfinished portrait, mary westmacott', 'the mousetrap, agatha christie', 'black coffee, agatha christie', 'the mousetrap and other plays, agatha christie', 'agatha christie, agatha christie', 'an inspector calls, j.b. priestley', ""a daughter's a daughter, mary westmacott"", 'playback, raymond chandler']"
