,titles_authors
0,"['the eyes are the best part, monika kim', 'all this twisted glory, tahereh mafi', 'a bánh mì for two, trinity nguyen', ""summer of '69, elin hilderbrand"", 'exhalation, ted chiang', 'the twisted ones, t. kingfisher', 'when life gives you pears, jeannie gaffigan', 'the wicked king, holly black', 'shark heart, emily habeck', 'final offer, lauren asher', 'we deserve monuments, jas hammonds', ""sure, i'll join your cult, maria bamford"", 'the it girl, ruth ware', 'the atlas six, olivie blake', 'the myth of normal, gabor maté', 'a flicker in the dark, stacy willingham', 'rise of the school for good and evil, soman chainani', 'the lincoln highway, amor towles', 'fugitive telemetry, martha wells', ""please don't sit on my bed in your outside clothes, phoebe robinson"", 'under a white sky, elizabeth kolbert', 'aristotle and dante dive into the waters of the world, benjamin alire sáenz', 'american dirt, jeanine cummins', 'the vanishing half, brit bennett', 'the year of the witching, alexis henderson', 'the bone shard daughter, andrea stewart', 'burn bright, patricia briggs', 'catching fire, suzanne collins', 'the thief, j.r. ward', 'the oracle year, charles soule', 'so you want to talk about race, ijeoma oluo', 'dopesick, beth macy', 'the soul of america, jon meacham', 'sea of strangers, lang leav', 'the woman in the window, a.j. finn', 'wrath of the dragon king, brandon mull', 'home fire, kamila shamsie', 'my absolute darling, gabriel tallent', 'magic binds, ilona andrews', 'the sound of gravel, ruth wariner', 'black panther (2016-2018) #1, ta-nehisi coates', 'quarter life poetry, samantha jayne', 'interstellar cinderella, deborah underwood', 'all joy and no fun, jennifer senior', ""this star won't go out, esther earl"", 'sally ride, lynn sherr', 'and the mountains echoed, khaled hosseini', 'the burgess boys, elizabeth strout', 'burial rites, hannah kent', 'the pioneer woman cooks, ree drummond', 'nocturnal, scott sigler', 'the end of your life book club, will schwalbe', 'dearie, bob spitz', 'most talkative, andy cohen', 'scalped, jason aaron', 'legend, marie lu', 'sing you home, jodi picoult', 'the language of flowers, vanessa diffenbaugh', 'now you see her, james patterson', 'fuzzy nation, john scalzi', 'zone one, colson whitehead', 'the information, james gleick', 'inside scientology, janet reitman', 'in the garden of beasts, erik larson', 'okay for now, gary d. schmidt']"
1,"['real, katy evans']"
2,"['intermezzo, sally rooney', 'swan song, elin hilderbrand', 'martyr!, kaveh akbar', 'same as it ever was, claire lombardo', 'all the colors of the dark, chris whitaker', 'society of lies, lauren ling brown', 'wild love, elsie silver', 'a love song for ricki wilde, tia williams', 'house of flame and shadow, sarah j. maas', 'born of blood and ash, jennifer l. armentrout', 'faebound, saara el-arifi', 'the veiled kingdom, holly renee', 'fate of the sun king, nisha j. tuli', 'when among crows, veronica roth', 'the bright sword, lev grossman', 'a sweet sting of salt, rose sutherland', 'extinction, douglas preston', ""i'm starting to worry about this black box of doom, jason pargin"", 'bury your gays, chuck tingle', 'i was a teenage slasher, stephen graham jones', 'diavola, jennifer marie thorne', 'the angel of indian lake, stephen graham jones', 'martyr!, kaveh akbar', 'funny story, emily henry', 'the women, kristin hannah', 'somewhere beyond the sea, t.j. klune', 'be ready when the luck happens, ina garten', 'from here to the great unknown, lisa marie presley', 'heartless hunter, kristen ciccarelli', 'defiant, brandon sanderson', 'if only i had told her, laura nowlin', 'most ardently, gabe cole novoa', 'the wide wide sea, hampton sides', 'the gifted school, bruce holsinger', 'the turn of the key, ruth ware', 'an anonymous girl, greer hendricks', 'miracle creek, angie kim', 'the mother-in-law, sally hepworth', 'my lovely wife, samantha downing', 'lost roses, martha hall kelly', 'magic for liars, sarah gailey', 'the wallflower wager, tessa dare', 'fall; or, dodge in hell, neal stephenson', 'the luminous dead, caitlin starling', 'dear girls, ali wong', 'hope rides again, andrew shaffer', 'small doses, amanda seales', 'mr. know-it-all, john waters', 'home work, julie andrews edwards', 'how we fight for our lives, saeed jones', 'the heartbeat of wounded knee, david treuer', 'the body, bill bryson', 'the most fun we ever had, claire lombardo', 'boy swallows universe, trent dalton', 'american royals, katharine mcgee', 'frankly in love, david yoon', 'wilder girls, rory power', 'a curse so dark and lonely, brigid kemmerer', 'finale, stephanie garber', ""the tyrant's tomb, rick riordan"", 'tunnel of bones, victoria schwab', 'other words for home, jasmine warga', 'hair love, matthew a. cherry', 'a tiger like me, michael engler', 'the invisible hour, alice hoffman', 'the collected regrets of clover, mikki brammer', 'big swiss, jen beagin', 'the keeper of hidden books, madeline martin', 'the secret book of flora lea, patti callahan henry', 'banyan moon, thao thai', 'the last devil to die, richard osman', 'after that night, karin slaughter', 'wildfire, hannah grace', 'a long time coming, meghan quinn', 'the ashes & the star-cursed king, carissa broadbent', 'the hanging city, charlie n. holmberg', 'the adventures of amina al-sirafi, shannon chakraborty', 'starling house, alix e. harrow', 'the will of the many, james islington', 'starter villain, john scalzi', 'system collapse, martha wells', 'the future, naomi alderman', 'land of milk and honey, c pam zhang', 'ascension, nicholas binge', 'a house with good bones, t. kingfisher', 'vampires of el norte, isabel cañas', 'mister magic, kiersten white', 'divine rivals, rebecca ross', 'foxglove, adalyn grace', 'five survive, holly jackson', 'imogen, obviously, becky albertalli', 'pineapple street, jenny jackson', 'counting the cost, jill duggar', 'the many lives of mama love, lara love hardin', 'master slave husband wife, ilyon woo', 'wish you were here, jodi picoult', 'notes on an execution, danya kukafka', 'mad honey, jodi picoult', 'demon copperhead, barbara kingsolver', 'how not to drown in a glass of water, angie cruz', 'now is not the time to panic, kevin wilson', 'a flicker in the dark, stacy willingham', 'the golden couple, greer hendricks', 'the diamond eye, kate quinn', 'the magnolia palace, fiona davis', 'hester, laurie lico albanese', 'the last rose of shanghai, weina dai randel', 'daughter of the moon goddess, sue lynn tan', 'ordinary monsters, j.m. miro', 'book lovers, emily henry', 'the american roommate experiment, elena armas', 'funny you should ask, elissa sussman', 'dating dr. dil, nisha sharma', 'the wedding crasher, mia sosa', 'upgrade, blake crouch', 'sleepwalk, dan chaon', 'what moves the dead, t. kingfisher', 'small angels, lauren owen', 'idiots, laura clery', 'atlas of the heart, brené brown', 'south to america, imani perry', 'slaying the dragon, ben riggs', 'the many deaths of laila starr, ram v.', 'lessons in chemistry, bonnie garmus', 'all good people here, ashley flowers', 'the measure, nikki erlick', 'cytonic, brandon sanderson', 'cursed, marissa meyer', 'witchlings, claribel a. ortega', 'aru shah and the nectar of immortality, roshani chokshi', 'the reading list, sara nisha adams', 'that summer, jennifer weiner', 'the push, ashley audrain', 'apples never fall, liane moriarty', 'a slow fire burning, paula hawkins', 'malibu rising, taylor jenkins reid', 'the love songs of w.e.b. du bois, honorée fanonne jeffers', 'the inheritance of orquídea divina, zoraida córdova', 'how to fail at flirting, denise williams', 'cultish, amanda montell', 'just as i am, cicely tyson', 'lore olympus, rachel smythe', 'teen titans, kami garcia', ""winter's orbit, everina maxwell"", 'lore, alexandra bracken', 'a \u200bsky beyond the storm, sabaa tahir', 'namesake, adrienne young', 'a vow so bold and deadly, brigid kemmerer', 'beasts and beauty, soman chainani', 'red, white, and whole, rajani larocca', ""ophie's ghosts, justina ireland"", 'if i had your face, frances cha', 'luster, raven leilani', 'real life, brandon taylor', 'the guest list, lucy foley', 'all the devils are here, louise penny', 'betty, tiffany mcdaniel', 'the house in the cerulean sea, t.j. klune', 'the city we became, n.k. jemisin', 'in five years, rebecca serle', 'one to watch, kate stayman-london', ""the switch, beth o'leary"", 'network effect, martha wells', 'a beautifully foolish endeavor, hank green', 'the vanished birds, simon jimenez', 'the year of the witching, alexis henderson', 'the office, andy greene', 'hood feminism, mikki kendall', 'tightrope, nicholas d. kristof', ""killing crazy horse, bill o'reilly"", 'breath, james nestor', 'eat a peach, david chang', 'furia, yamile saied méndez', 'chain of gold, cassandra clare', 'midnight sun, stephenie meyer', 'cinderella is dead, kalynn bayron', 'girl, serpent, thorn, melissa bashardoust', 'aru shah and the tree of wishes, roshani chokshi', 'king and the dragonflies, kacen callender', 'us against you, fredrik backman', 'the female persuasion, meg wolitzer', ""you think it, i'll say it, curtis sittenfeld"", 'force of nature, jane harper', ""the clockmaker's daughter, kate morton"", 'white rose, black forest, eoin dempsey', 'age of war, michael j. sullivan', 'robbie, ella frank', ""josh and hazel's guide to not dating, christina lauren"", 'vox, christina dalcher', 'thrawn, timothy zahn', 'the carrow haunt, darcy coates', 'the last black unicorn, tiffany haddish', 'hope never dies, andrew shaffer', 'just the funny parts, nell scovell', 'factfulness, hans rosling', 'bad blood, john carreyrou', 'all-american murder, james patterson', 'enlightenment now, steven pinker', 'how to invent everything, ryan north', 'who we are and how we got here, david reich', 'herding cats, sarah andersen', 'be prepared, vera brosgol', 'sabrina, nick drnaso', 'if they come for us, fatimah asghar', 'blood water paint, joy mccullough', 'to kill a kingdom, alexandra christo', 'witchmark, c.l. polk', 'leah on the offbeat, becky albertalli', 'sadie, courtney summers', ""what if it's us, becky albertalli"", 'children of blood and bone, tomi adeyemi', 'the cruel prince, holly black', 'legendary, stephanie garber', 'the burning maze, rick riordan', 'the miscalculations of lightning girl, stacy mcanulty', 'i am enough, grace byers', 'little fires everywhere, celeste ng', 'exit west, mohsin hamid', 'sourdough, robin sloan', 'the girl before, j.p. delaney', 'golden prey, john sandford', 'the fourth monkey, j.d. barker', 'one fell sweep, ilona andrews', ""assassin's fate, robin hobb"", 'etched in bone, anne bishop', 'red sister, mark lawrence', 'the land, aleron kong', 'age of swords, michael j. sullivan', 'for we are many, dennis e. taylor', 'raven stratagem, yoon ha lee', 'six wakes, mur lafferty', 'believe me, eddie izzard', 'paperbacks from hell, grady hendrix', 'victoria the queen, julia baird', 'behave, robert m. sapolsky', 'sweet, yotam ottolenghi', 'monstress, volume 2, marjorie m. liu', 'paper girls, volume 2, brian k. vaughan', 'lumberjanes, vol. 5, n.d. stevenson', 'solo, kwame alexander', 'caraval, stephanie garber', 'midnight at the bright ideas bookstore, matthew j. sullivan', 'moxie, jennifer mathieu', 'carve the mark, veronica roth', 'traitor to the throne, alwyn hamilton', 'the black witch, laurie forest', 'eligible, curtis sittenfeld', 'shelter, jung yun', 'the association of small bombs, karan mahajan', 'into the light, aleatha romig', 'a gentleman in moscow, amor towles', 'homegoing, yaa gyasi', 'the summer before the war, helen simonson', 'the bird and the sword, amy harmon', 'vampire girl, karpov kinrade', 'roomhate, penelope ward', 'dark matter, blake crouch', 'a murder in time, julie mcelwain', 'lies, damned lies, and history, jodi taylor', 'a night without stars, peter f. hamilton', 'ninefox gambit, yoon ha lee', '24690, a.a. dark', ""but what if we're wrong? thinking about the present as if it were the past, chuck klosterman"", 'smarter faster better, charles duhigg', 'deep work, cal newport', 'hungry heart, jennifer weiner', 'first women, kate andersen brower', 'hidden figures, margot lee shetterly', 'in a different key, john donvan', 'time travel, james gleick', 'adulthood is a myth, sarah andersen', 'lily and the octopus, steven rowley', 'a promise of fire, amanda bouchet', 'walk the edge, katie mcgarry', 'when we collided, emery lord', 'lady midnight, cassandra clare', 'empire of storms, sarah j. maas', 'the hammer of thor, rick riordan', 'trail of broken wings, sejal badani', 'the secret wisdom of the earth, christopher scotton', 'when the moon is low, nadia hashimi', 'the girl on the train, paula hawkins', 'career of evil, robert galbraith', 'memory man, david baldacci', 'the escape, david baldacci', 'mademoiselle chanel, c.w. gortner', 'burned, karen marie moning', 'the fifth season, n.k. jemisin', 'the providence of fire, brian staveley', 'consolation, corinne michaels', 'the night sister, jennifer mcmahon', 'suicide forest, jeremy bates', 'we should hang out sometime, josh sundquist', 'searching for sunday, rachel held evans', 'all i know now, carrie hope fletcher', 'scary close, donald miller', 'born survivors, wendy holden', 'saga, volume 4, brian k. vaughan', 'ms. marvel, vol. 2, g. willow wilson', 'my heart and other black holes, jasmine warga', 'the heir, kiera cass', 'firefight, brandon sanderson', 'library of souls, ransom riggs', 'if you plant a seed, kadir nelson', 'a fine dessert, emily jenkins', 'the enchanted, rene denfeld', 'festive in death, j.d. robb', 'mean streak, sandra brown', 'edge of eternity, ken follett', 'the miniaturist, jessie burton', 'magic breaks, ilona andrews', 'city of stairs, robert jackson bennett', 'the will, kristen ashley', 'shield of winter, nalini singh', 'fighting redemption, kate mccarthy', 'pandemic, scott sigler', 'the getaway god, richard kadrey', 'the opposite of loneliness, marina keegan', '10% happier, dan harris', '#girlboss, sophia amoruso', 'essentialism, greg mckeown', 'ms. marvel, vol. 1, g. willow wilson', 'nejma, nayyirah waheed', 'the martian, andy weir', 'dorothy must die, danielle paige', 'panic, lauren oliver', 'lies we tell ourselves, robin talley', 'city of heavenly fire, cassandra clare', 'four, veronica roth', 'dreams of gods & monsters, laini taylor', 'the infinite sea, rick yancey', 'the long haul, jeff kinney', 'the shadow throne, jennifer a. nielsen', 'sky raiders, brandon mull', 'the book with no pictures, b.j. novak', 'sparky!, jenny offill', ""the husband's secret, liane moriarty"", ""the cuckoo's calling, robert galbraith"", 'how the light gets in, louise penny', 'night film, marisha pessl', ""the aviator's wife, melanie benjamin"", 'the luminaries, eleanor catton', 'blood of dragons, robin hobb', 'the bone season, samantha shannon', 'chimes at midnight, seanan mcguire', 'affliction, laurell k. hamilton', ""steel's edge, ilona andrews"", 'the coincidence of callie & kayden, jessica sorensen', 'the longest ride, nicholas sparks', 'this girl, colleen hoover', 'collide, gail mchugh', 'nos4a2, joe hill', 'beyond belief, jenna miscavige hill', 'zealot, reza aslan', 'decisive, chip heath', 'bread and wine, shauna niequist', 'man up!, ross mathews', 'beautiful creatures, kami garcia', 'chew, vol. 6, john layman', 'eleanor & park, rainbow rowell', ""ali's pretty little lies, sara shepard"", 'through the ever night, veronica rossi', 'the dream thieves, maggie stiefvater', 'the runaway king, jennifer a. nielsen', 'navigating early, clare vanderpool', 'the school for good and evil, soman chainani', 'the day the crayons quit, drew daywalt', 'mr. tiger goes wild, peter brown', 'on a beam of light, jennifer berne', 'bloodline, james rollins', 'broken harbor, tana french', 'the limpopo academy of private detection, alexander mccall smith', 'garment of shadows, laurie r. king', 'the light between oceans, m.l. stedman', 'the snow child, eowyn ivey', ""the kingmaker's daughter, philippa gregory"", 'the killing moon, n.k. jemisin', 'percepliquis, michael j. sullivan', 'wards of faerie, terry brooks', 'ashes of honor, seanan mcguire', 'shadows in flight, orson scott card', 'love unrehearsed, tina reber', 'darker after midnight, lara adrian', 'seducing cinderella, gina l. maxwell', 'life after death, damien echols', 'the righteous mind, jonathan haidt', 'eat & run, scott jurek', 'french kids eat everything, karen le billon', 'sacré bleu, christopher moore', 'soulless, gail carriger', 'locke & key, vol. 5, joe hill', 'the golden lily, richelle mead', 'easy, tammara webber', 'out of sight, out of time, ally carter', ""the hero's guide to saving your kingdom, christopher healy"", 'creepy carrots!, aaron reynolds', 'dragons love tacos, adam rubin', '1q84, haruki murakami', ""the midwife's confession, diane chamberlain"", 'silver sparrow, tayari jones', 'swamplandia!, karen russell', ""smokin' seventeen, janet evanovich"", 'new york to dallas, j.d. robb', 'the silent girl, tess gerritsen', ""naamah's blessing, jacqueline carey"", 'blackveil, kristen britain', 'one salt sea, seanan mcguire', 'silver shark, ilona andrews', 'phoenix rising, pip ballantine', 'flashback, dan simmons', 'the night eternal, guillermo del toro', 'lover unleashed, j.r. ward', 'just like heaven, julia quinn', 'lies that chelsea handler told me, chelsea handler', 'domestic violets, matthew norman', 'the real macaw, donna andrews', 'the magic of reality, richard dawkins', 'the murder of the century, paul collins', 'the man in the rockefeller suit, mark seal', 'stories i only tell my friends, rob lowe', 'battle hymn of the tiger mother, amy chua', 'perfect, ellen hopkins', 'delirium, lauren oliver', 'forever, maggie stiefvater', 'i want my hat back, jon klassen', 'perfect square, michael hall']"
3,"['bewilderment, richard powers']"
4,"['the bullet swallower, elizabeth gonzalez james', 'maame, jessica george', 'things we do in the dark, jennifer hillier', 'useless magic, florence welch', 'being mortal, atul gawande', 'how will you measure your life?, clayton m. christensen']"
5,"['leather & lark, brynne weaver', 'before and after, judy christie', 'h is for hawk, helen macdonald', 'collide, gail mchugh']"
6,"['all fours, miranda july', 'dead voices, katherine arden', 'the push, ashley audrain']"
7,"['the god of the woods, liz moore', 'the pairing, casey mcquiston', 'the blueprint, rae giana rashad', 'wisteria, adalyn grace', 'the coworker, freida mcfadden', 'highly suspicious and unfairly cute, talia hibbert', 'four treasures of the sky, jenny tinghui zhang', 'constance, matthew fitzsimmons', 'record of a spaceborn few, becky chambers', 'eleanor oliphant is completely fine, gail honeyman', 'the stars are legion, kameron hurley', 'hunger, roxane gay', ""can't we talk about something more pleasant?, roz chast"", 'dad is fat, jim gaffigan', 'captain marvel, vol. 1, kelly sue deconnick', 'rose under fire, elizabeth wein', 'tricked, kevin hearne', 'my life next door, huntley fitzpatrick', 'boomerang, michael lewis', 'every thing on it, shel silverstein']"
8,"['we used to live here, marcus kliewer', 'we hunt the flame, hafsah faizal', 'code name hélène, ariel lawhon', 'lethal white, robert galbraith', 'jane doe, victoria helen stone', 'zero day, ezekiel boone', 'the map of salt and stars, zeyn joukhadar', 'the punch escrow, tal m. klein', ""stephen colbert's midnight confessions, stephen colbert"", 'the death and life of the great lakes, dan egan', 'the language of thorns, leigh bardugo', 'star wars, chuck wendig', 'pioneer girl, laura ingalls wilder', 'si-cology 1, si robertson', 'in the shadow of the banyan, vaddey ratner', ""billy lynn's long halftime walk, ben fountain"", 'motorcycle man, kristen ashley', 'doc, mary doria russell']"
9,"['from blood and ash, jennifer l. armentrout']"
