index,category,genres,votes,title,description,author_name,author_about,avatar_url,pages,rating,num_ratings,num_reviews,publication_info,img_url,book_url,ratings_hist,want_to_read_num,current_read_num
402,Science Fiction,"['Fantasy', 'Science Fiction', 'Fiction', 'LGBT', 'Queer', 'Horror', 'Audiobook']",23273,gideon the ninth,"The Emperor needs necromancers.The Ninth Necromancer needs a swordswoman.Gideon has a sword, some dirty magazines, and no more time for undead bullshit.Brought up by unfriendly, ossifying nuns, ancient retainers, and countless skeletons, Gideon is ready to abandon a life of servitude and an afterlife as a reanimated corpse. She packs up her sword, her shoes, and her dirty magazines, and prepares to launch her daring escape. But her childhood nemesis won't set her free without a service.Harrowhark Nonagesimus, Reverend Daughter of the Ninth House and bone witch extraordinaire, has been summoned into action. The Emperor has invited the heirs to each of his loyal Houses to a deadly trial of wits and skill. If Harrowhark succeeds she will become an immortal, all-powerful servant of the Resurrection, but no necromancer can ascend without their cavalier. Without Gideon's sword, Harrow will fail, and the Ninth House will die.Of course, some things are better left dead.",tamsyn muir,"TAMSYN MUIR is the bestselling author of the Locked Tomb Trilogy, which begins with Gideon the Ninth, continues with Harrow the Ninth, and concludes with Alecto the Ninth. Her short fiction has been nominated for the Nebula Award, the Shirley Jackson Award, the World Fantasy Award and the Eugie Foster Memorial Award. A Kiwi, she has spent most of her life in Howick, New Zealand, with time living in Waiuku and central Wellington. She currently lives and works in Oxford, in the United Kingdom.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1543423040i%2F6876324._UX200_CR0%2C12%2C200%2C200_.jpg&w=256&q=75,448,4.2,166913,29333,2019-09-10,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546870952l/42036538.jpg,https://www.goodreads.com/book/show/42036538-gideon-the-ninth?from_choice=true,"['78,150 (46%)', '56,282 (33%)', '22,726 (13%)', '6,988 (4%)', '2,767 (1%)']",317040,21796
3369,Fantasy,"['Fantasy', 'Fiction', 'Science Fiction', 'Dystopia', 'Audiobook', 'Adult', 'Science Fiction Fantasy']",8312,the fifth season,"This is the way the world ends. Again.Three terrible things happen in a single day. Essun, a woman living an ordinary life in a small town, comes home to find that her husband has brutally murdered their son and kidnapped their daughter. Meanwhile, mighty Sanze -- the world-spanning empire whose innovations have been civilization's bedrock for a thousand years -- collapses as most of its citizens are murdered to serve a madman's vengeance. And worst of all, across the heart of the vast continent known as the Stillness, a great red rift has been torn into the heart of the earth, spewing ash enough to darken the sky for years. Or centuries.Now Essun must pursue the wreckage of her family through a deadly, dying land. Without sunlight, clean water, or arable land, and with limited stockpiles of supplies, there will be war all across the Stillness: a battle royale of nations not for power or territory, but simply for the basic resources necessary to get through the long dark night. Essun does not care if the world falls apart around her. She'll break it herself, if she must, to save her daughter.",n.k. jemisin,N. K. Jemisin lives and works in New York City.,/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1438215930i%2F2917917._UX200_CR0%2C25%2C200%2C200_.jpg&w=256&q=75,468,4.3,310028,35477,2015-08-04,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386803701l/19161852.jpg,https://www.goodreads.com/book/show/19161852-the-fifth-season?from_choice=true,"['156,258 (50%)', '105,665 (34%)', '35,332 (11%)', '8,914 (2%)', '3,859 (1%)']",542298,31053
2038,Young Adult Fantasy,"['Fantasy', 'Young Adult', 'Fiction', 'Audiobook', 'Adventure', 'Young Adult Fantasy', 'Mythology']",1726,return of the thief,"The thrilling, twenty-years-in-the-making, conclusion to the New York Times–bestselling Queen’s Thief series, by Megan Whalen Turner. This beloved and award-winning series began with the acclaimed novel The Thief. It and four more stand-alone volumes bring to life a world of epics, myths, and legends, and feature one of the most charismatic and incorrigible characters of fiction, Eugenides the thief. Now more powerful and cunning than ever before, Eugenides must navigate a perilous future in this sweeping conclusion. Perfect for fans of Leigh Bardugo, Marie Lu, Patrick Rothfuss, and Sarah J. Maas.Neither accepted nor beloved, Eugenides is the uneasy linchpin of a truce on the Lesser Peninsula, where he has risen to be high king of Attolia, Eddis, and Sounis. As the treacherous Baron Erondites schemes anew and a prophecy appears to foretell the death of the king, the ruthless Mede empire prepares to strike. The New York Times–bestselling Queen’s Thief novels are rich with political machinations, divine intervention, dangerous journeys, battles lost and won, power, passion, and deception.",megan whalen turner,"Megan Whalen Turner is the author of short stories and novels for children, teenagers and adults. She has won the LA Times Book Award for Young Adult LIterature, a Boston Globe/ Horn Book Honor and a Newbery Honor. She won the Mythopoeic Award and was shortlisted twice for the Andre Norton Award.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1489507023i%2F22542._UX200_CR0%2C25%2C200%2C200_.jpg&w=256&q=75,464,4.48,11558,1953,2020-10-06,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531833605l/11503920.jpg,https://www.goodreads.com/book/show/11503920-return-of-the-thief?from_choice=true,"['6,922 (59%)', '3,498 (30%)', '973 (8%)', '127 (1%)', '38 (<1%)']",21091,624
57983,Not applicable,"['Fantasy', 'Romance', 'Historical', 'M M Romance', 'Paranormal', 'Historical Fiction', 'LGBT']",Not applicable,the magpie lord,"A lord in danger. A magician in turmoil. A snowball in hell.Exiled to China for twenty years, Lucien Vaudrey never planned to return to England. But with the mysterious deaths of his father and brother, it seems the new Lord Crane has inherited an earldom. He’s also inherited his family’s enemies. He needs magical assistance, fast. He doesn't expect it to turn up angry.Magician Stephen Day has good reason to hate Crane’s family. Unfortunately, it’s his job to deal with supernatural threats. Besides, the earl is unlike any aristocrat he’s ever met, with the tattoos, the attitude... and the way Crane seems determined to get him into bed. That’s definitely unusual.Soon Stephen is falling hard for the worst possible man, at the worst possible time. But Crane’s dangerous appeal isn't the only thing rendering Stephen powerless. Evil pervades the house, a web of plots is closing round Crane, and if Stephen can’t find a way through it—they’re both going to die. Warning: Contains hot m/m sex between a deeply inappropriate earl and a very confused magician, dark plots in a magical version of Victorian England, family values (not the good kind), and a lot of swearing.",k.j. charles,"KJ is a writer of romance, mostly m/m, historical or fantasy or both. She blogs about writing and editing at http://kjcharleswriter.com. She lives in London, UK, with her husband, two kids, and a cat of absolute night.Bluesky @kj_charleswriter.comJoin the lively Facebook group at https://www.facebook.com/groups/13876...Sign up to the (infrequent) newsletter at http://kjcharleswriter.com/newsletterPlease **do not** message me on Goodreads as I no longer check the inbox due to unwanted messages.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1418032373i%2F7123498._UY200_CR23%2C0%2C200%2C200_.jpg&w=256&q=75,210,4.03,23342,3318,,Missing,https://www.goodreads.com/book/show/22978536-the-magpie-lord,"['8,078 (34%)', '9,524 (40%)', '4,456 (19%)', '999 (4%)', '285 (1%)']",29249,1086
2611,Science Fiction,"['Science Fiction', 'Fiction', 'Audiobook', 'Novella', 'Fantasy', 'Adult', 'Space']",2920,all systems red,"In a corporate-dominated spacefaring future, planetary missions must be approved and supplied by the Company. Exploratory teams are accompanied by Company-supplied security androids, for their own safety.But in a society where contracts are awarded to the lowest bidder, safety isn’t a primary concern.On a distant planet, a team of scientists are conducting surface tests, shadowed by their Company-supplied ‘droid — a self-aware SecUnit that has hacked its own governor module, and refers to itself (though never out loud) as “Murderbot.” Scornful of humans, all it really wants is to be left alone long enough to figure out who it is.But when a neighboring mission goes dark, it's up to the scientists and their Murderbot to get to the truth.",martha wells,"Martha Wells has been an SF/F writer since her first fantasy novel was published in 1993, and her work includes The Books of the Raksura series, the Ile-Rien series, The Murderbot Diaries series, and other fantasy novels, most recently Witch King (Tordotcom, 2023). She has also written media tie-in fiction for Star Wars, Stargate: Atlantis, and Magic: the Gathering, as well as short fiction, YA novels, and non-fiction. She has won Nebula Awards, Hugo Awards, Locus Awards, and a Dragon Award, and her work has appeared on the Philip K. Dick Award ballot, the British Science Fiction Association Award ballot, the USA Today Bestseller List, the Sunday Times Bestseller List, and the New York Times Bestseller List. She is a member of the Texas Literary Hall of Fame, and her books have been published in twenty-five languages.She is also a consulting producer on The Murderbot Diaries series for Apple TV+. ",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1397566224i%2F87305._UX200_CR0%2C28%2C200%2C200_.jpg&w=256&q=75,152,4.13,313827,36169,2017-05-02,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1484171419l/33387769.jpg,https://www.goodreads.com/book/show/33387769-all-systems-red?from_choice=true,"['117,067 (37%)', '133,568 (42%)', '52,523 (16%)', '8,510 (2%)', '2,159 (<1%)']",248406,17549
58356,Not applicable,"['Classics', 'Fiction', 'Fantasy', 'Philosophy', 'Short Stories', 'Literature', 'School']",Not applicable,the metamorphosis,"As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect. He was laying on his hard, as it were armor-plated, back and when he lifted his head a little he could see his domelike brown belly divided into stiff arched segments on top of which the bed quilt could hardly keep in position and was about to slide off completely. His numerous legs, which were pitifully thin compared to the rest of his bulk, waved helplessly before his eyes.",franz kafka,"Prague-born writer Franz Kafka wrote in German, and his stories, such as ""
The Metamorphosis
"" (1916), and posthumously published novels, including 
The Trial
 (1925), concern troubled individuals in a nightmarishly impersonal world.Jewish middle-class family of this major fiction writer of the 20th century spoke German. People consider his unique body of much incomplete writing, mainly published posthumously, among the most influential in European literature. His stories include ""The Metamorphosis"" (1912) and ""
In the Penal Colony
"" (1914), whereas his posthumous novels include The Trial (1925), 
The Castle
 (1926) and 
Amerika
 (1927).Despite first language, Kafka also spoke fluent Czech. Later, Kafka acquired some knowledge of the French language and culture from Flaubert, one of his favorite authors. Kafka first studied chemistry at the Charles-Ferdinand University of Prague but after two weeks switched to law. This study offered a range of career possibilities, which pleased his father, and required a longer course of study that gave Kafka time to take classes in German studies and art history. At the university, he joined a student club, named Lese- und Redehalle der Deutschen Studenten, which organized literary events, readings, and other activities. In the end of his first year of studies, he met Max Brod, a close friend of his throughout his life, together with the journalist Felix Weltsch, who also studied law. Kafka obtained the degree of doctor of law on 18 June 1906 and performed an obligatory year of unpaid service as law clerk for the civil and criminal courts. Writing of Kafka attracted little attention before his death. During his lifetime, he published only a few short stories and never finished any of his novels except the very short ""The Metamorphosis."" Kafka wrote to Max Brod, his friend and literary executor: ""Dearest Max, my last request: Everything I leave behind me ... in the way of diaries, manuscripts, letters (my own and others'), sketches, and so on, [is] to be burned unread."" Brod told Kafka that he intended not to honor these wishes, but Kafka, so knowing, nevertheless consequently gave these directions specifically to Brod, who, so reasoning, overrode these wishes. Brod in fact oversaw the publication of most of work of Kafka in his possession; these works quickly began to attract attention and high critical regard. Max Brod encountered significant difficulty in compiling notebooks of Kafka into any chronological order as Kafka started writing in the middle of notebooks, from the last towards the first, et cetera.Kafka wrote all his published works in German except several letters in Czech to Milena Jesenská. ",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1615573688i%2F5223._UX200_CR0%2C33%2C200%2C200_.jpg&w=256&q=75,Paperback,3.89,1313962,60007,,Missing,https://www.goodreads.com/book/show/199680.The_Metamorphosis,"['430,153 (32%)', '473,576 (36%)', '288,685 (21%)', '84,678 (6%)', '36,870 (2%)']",727201,33830
56011,Not applicable,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'High Fantasy', 'Audiobook']",Not applicable,the hobbit,"Tolkien's famous saga, the prelude to The Lord of the Rings, has all the ingredients of fantasy and adventure: dwarves, elves, goblins and trolls, a fearsome dragon, a great wizard, a perilous quest, and a dramatic climax. This radio dramatization became a classic when it was first broadcast on BBC Radio, and it continues to delight today. Bilbo Baggins, the hobbit, is a peaceful sort who lives in a cozy hole in the Shire, a place where adventures are uncommon—and rather unwanted. So when the wizard Gandalf whisks him away on a treasure-hunting expedition with a troop of rowdy dwarves, he's not entirely thrilled.",michael kilgarriff,"Michael Kilgarriff is a British actor from Brighton. As an actor he is well known for two things: his rich voice--leading to much radio and voice over work--and his height. At six feet seven inches (2.01 metres) tall, he is sought for certain roles, the most notable of which has been The Cyber Controller in Doctor Who, a role he played in 1967 and 1985. He also appeared in the series as an Ogron (1973) and as the eponymous K1 Robot in the story Robot in 1974. He returned to play the K1 Robot in the Big Finish Productions Bernice Summerfield audio adventure The Relics of Jegg-Sau. He also did voice work for the Jim Henson movie The Dark Crystal in 1982 as SkekUng, the Garthim master (Named ""The General"" in the movie), and played the part of the Green King in the 1970s serial The Moon Stallion.Kilgarriff is a music hall enthusiast, and wrote what is considered the definitive guide to music hall songs: Sing Us One of the Old Songs: A Guide to Popular Song from 1860-1920 (Oxford University Press, 1998). This work lists thousands of influential songs by singer, lyricist and composer.He is also the author of a series of children's joke books.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1363232303i%2F14622._UX200_CR0%2C30%2C200%2C200_.jpg&w=256&q=75,1,4.29,4313615,81937,,Missing,https://www.goodreads.com/book/show/13591711-the-hobbit,"['2,327,509 (53%)', '1,244,325 (28%)', '513,400 (11%)', '138,226 (3%)', '90,155 (2%)']",1276374,104916
64608,Not applicable,"['Fiction', 'Classics', 'Historical Fiction', 'Africa', 'School', 'Literature', 'Nigeria']",Not applicable,things fall apart,chinua achebe's first novel,chinua achebe,,/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fnophoto%2Fuser%2Fu_700x933.png&w=256&q=75,224,3.74,400004,22179,,Missing,https://www.goodreads.com/book/show/3130746-things-fall-apart,"['104,384 (26%)', '147,209 (36%)', '101,874 (25%)', '33,245 (8%)', '13,292 (3%)']",260651,11173
3018,Science Fiction,"['Science Fiction', 'Fiction', 'Space Opera', 'Fantasy', 'Queer', 'LGBT', 'Audiobook']",552,ninefox gambit,"The first installment of the trilogy, Ninefox Gambit, centers on disgraced captain Kel Cheris, who must recapture the formidable Fortress of Scattered Needles in order to redeem herself in front of the Hexarchate.To win an impossible war Captain Kel Cheris must awaken an ancient weapon and a despised traitor general.Captain Kel Cheris of the hexarchate is disgraced for using unconventional methods in a battle against heretics. Kel Command gives her the opportunity to redeem herself by retaking the Fortress of Scattered Needles, a star fortress that has recently been captured by heretics. Cheris’s career isn’t the only thing at stake. If the fortress falls, the hexarchate itself might be next.Cheris’s best hope is to ally with the undead tactician Shuos Jedao. The good news is that Jedao has never lost a battle, and he may be the only one who can figure out how to successfully besiege the fortress.The bad news is that Jedao went mad in his first life and massacred two armies, one of them his own. As the siege wears on, Cheris must decide how far she can trust Jedao–because she might be his next victim.",yoon ha lee,"Yoon Ha Lee is an American science fiction writer born on January 26, 1979 in Houston, Texas. His first published story, “The Hundredth Question,” appeared in Fantasy & Science Fiction in 1999; since then, over two dozen further stories have appeared. He lives in Baton Rouge, Louisiana.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1603220064i%2F3001246.jpg&w=256&q=75,319,3.8,20957,3047,2016-06-14,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1445980134l/27276118._SY475_.jpg,https://www.goodreads.com/book/show/27276118-ninefox-gambit?from_choice=true,"['5,806 (27%)', '8,120 (38%)', '4,701 (22%)', '1,629 (7%)', '701 (3%)']",37992,2090
46167,Not applicable,"['Nonfiction', 'Science', 'Environment', 'Nature', 'Classics', 'Ecology', 'History']",Not applicable,silent spring,"First published in 1962, Silent Spring can singlehandedly be credited with sounding the alarm and raising awareness of humankind’s collective impact on its own future through chemical pollution. No other book has so strongly influenced the environmental conscience of Americans and the world at large. “Silent Spring came as a cry in the wilderness, a deeply felt, thoroughly researched, and brilliantly written argument that changed the course of history.”—Vice President Al Gore",rachel carson,"Rachel Louise Carson (May 27, 1907 – April 14, 1964) was an American marine biologist and conservationist whose book Silent Spring and other writings are credited with advancing the global environmental movement.Carson began her career as an aquatic biologist in the U.S. Bureau of Fisheries, and became a full-time nature writer in the 1950s. Her widely praised 1951 bestseller The Sea Around Us won her a U.S. National Book Award, recognition as a gifted writer, and financial security. Her next book, The Edge of the Sea, and the reissued version of her first book, Under the Sea Wind, were also bestsellers. This sea trilogy explores the whole of ocean life from the shores to the depths.Late in the 1950s, Carson turned her attention to conservation, especially environmental problems that she believed were caused by synthetic pesticides. The result was Silent Spring (1962), which brought environmental concerns to an unprecedented share of the American people. Although Silent Spring was met with fierce opposition by chemical companies, it spurred a reversal in national pesticide policy, which led to a nationwide ban on DDT and other pesticides, and it inspired a grassroots environmental movement that led to the creation of the U.S. Environmental Protection Agency. Carson was posthumously awarded the Presidential Medal of Freedom.A variety of groups ranging from government institutions to environmental and conservation organizations to scholarly societies have celebrated Carson's life and work since her death. Perhaps most significantly, on June 9, 1980, Carson was awarded the Presidential Medal of Freedom, the highest civilian honor in the United States. A 17¢ Great Americans series postage stamp was issued in her honor the following year; several other countries have since issued Carson postage as well.Carson's birthplace and childhood home in Springdale, Pennsylvania — now known as the Rachel Carson Homestead—became a National Register of Historic Places site, and the nonprofit Rachel Carson Homestead Association was created in 1975 to manage it. Her home in Colesville, Maryland where she wrote Silent Spring was named a National Historic Landmark in 1991. Near Pittsburgh, a 35.7 miles (57 km) hiking trail, maintained by the Rachel Carson Trails Conservancy, was dedicated to Carson in 1975. A Pittsburgh bridge was also renamed in Carson's honor as the Rachel Carson Bridge. The Pennsylvania Department of Environmental Protection State Office Building in Harrisburg is named in her honor. Elementary schools in Gaithersburg, Montgomery County, Maryland, Sammamish, Washington and San Jose, California were named in her honor, as were middle schools in Beaverton, Oregon and Herndon, Virginia (Rachel Carson Middle School), and a high school in Brooklyn, New York.Between 1964 and 1990, 650 acres (3 km2) near Brookeville in Montgomery County, Maryland were acquired and set aside as the Rachel Carson Conservation Park, administered by the Maryland-National Capital Park and Planning Commission. In 1969, the Coastal Maine National Wildlife Refuge became the Rachel Carson National Wildlife Refuge; expansions will bring the size of the refuge to about 9,125 acres (37 km2). In 1985, North Carolina renamed one of its estuarine reserves in honor of Carson, in Beaufort.Carson is also a frequent namesake for prizes awarded by philanthropic, educational and scholarly institutions. The Rachel Carson Prize, founded in Stavanger, Norway in 1991, is awarded to women who have made a contribution in the field of environmental protection. The American Society for Environmental History has awarded the Rachel Carson Prize for Best Dissertation since 1993. Since 1998, the Society for Social Studies of Science has awarded an annual Rachel Carson Book Prize for ""a book length work of social or political relevance in the area of science and technology studies.""More: http://en.wikipedia.org/wiki/Rachel_C...",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1397487410i%2F15332._UX200_CR0%2C32%2C200%2C200_.jpg&w=256&q=75,Audiobook,4.05,52752,4088,,Missing,https://www.goodreads.com/book/show/6247834-silent-spring,"['19,872 (37%)', '19,963 (37%)', '9,713 (18%)', '2,182 (4%)', '1,022 (1%)']",121912,7427
