,description
0,"phoebe, wedding, novel, bride, sails, alison, sunset, cornwall, alternate, oysters"
1,"ivan, peter, koubek, chess, grieving, life, relationships, father, sylvia, rooney"
2,"siblings, sisters, sister, bonnie, avery, family, estranged, nicky, lives, grief"
3,"deaths, death, flight, passengers, fate, dies, bride, future, certainty, profound"
4,"nantucket, island, finale, novels, yacht, summer, flashy, cliché, glittering, grand"
5,"andy, dolly, jen, heartbreak, endings, writers, romantic, adrift, relationship, homewaiting"
6,"jolene, colleagues, emails, secrets, admin, duties, grievances, eleanor, boundaries, sensitivity"
7,"margo, motherhood, novel, living, affair, millet, runaway, eviction, faulkner, nick"
8,"martyr, martyrs, cyrus, akbar, iranian, poet, persian, painter, kaveh, meaning"
9,"massacre, pulitzer, marion, novel, prison, adrift, creek, hemingway, opal, 1864"
10,"nick, lily, real, novel, chen, rachel, lives, american, trust, generations"
11,"rocky, melancholy, summers, menopause, vacation, aging, life, precious, memories, marital"
12,"novel, miranda, fiction, artist, woman, romantic, thrillingly, comic, journey, july"
13,"atoll, oceanic, ocean, island, polynesia, novel, literature, adventure, exploration, lost"
14,"julia, intergenerational, relationships, heart, daughter, generation, impending, life, novelists, ames"
15,"argus, kismet, visions, darkness, gary, mourning, novel, dakota, poe, hugo"
16,"greta, irresistible, bestseller, sister, friendships, buenos, dramas, queerness, valdin, lover"
17,"jane, novel, writers, writer, comedy, hollywood, painter, appropriation, plan, lenny"
18,"nightingale, heroine, hannah, nursing, frankie, novel, kristin, friendships, frances, vietnam"
19,"novel, literary, huckleberry, literature, finn, jim, james, huck, readers, raft"
20,"martha, diary, murder, mystery, heroine, winter, midwife, maine, investigate, alleged"
21,"ellie, tehran, feminism, ambitions, homa, lives, turmoil, kamali, author, marjan"
22,"shakespeare, playwright, emilia, playwrights, melina, elizabethan, honey, mistress, novel, elle"
23,"bea, widow, grace, haunting, nora, women, fences, friendships, boardinghouse, mccarthy"
24,"novel, mallory, orphanage, adoption, hannah, summer, longing, songwriters, heirloom, dunne"
25,"actresses, actress, heroine, salome, princess, vera, tale, woman, film, nancy"
26,"gilgamesh, arthur, river, poem, nineveh, tale, mesopotamia, ashurbanipal, trees, ruins"
27,"beverly, larry, louse, michael, wife, novel, secretary, landau, opponent, persuade"
28,"lacey, eilis, novel, author, beloved, heroine, island, child, tóibín, unfulfilled"
29,"stella, brasserie, novel, oyster, novelstella, dress, adventure, bookstore, paris, habits"
30,"construção, canal, panamá, humanidade, possibilidade, permita, como, desmaiado, entregaram, arrebatadora"
31,"esther, augusta, aunt, potions, elixir, irving, adrift, soup, loyalty, beginnings"
32,"malaya, malayan, novel, japanese, daughter, cecily, wwii, eldest, fuijwara, jujube"
33,"gemma, chinatown, chang, soprano, francisco, turmoil, fortunes, janie, glittering, silver"
34,"novel, camp, summer, discovers, woods, barbara, bunk, teenager, unfolds, inheritance"
35,"evie, porter, picket, sumner, learns, ryan, cover, mysterious, southern, girl"
36,"obsession, murder, sydney, crimes, victims, suspicions, shaw, author, story, dating"
37,"housemaid, addie, author, trust, secrets, teacher, affair, eve, scandal, freida"
38,"novel, ending, thriller, author, tragedy, emerges, lurks, ali, obsession, heartache"
39,"lucy, murder, murdered, crime, savvy, rumors, truth, podcast, thought, ben"
40,"detective, amy, steve, murder, wheeler, adventure, alive, adrenaline, bag, puzzling"
41,"nicole, beth, nostalgia, siblings, reunite, michael, youngest, estranged, vhs, ends"
42,"midsummer, guests, secrets, murder, festivities, cocktail, manor, mystery, night, sparkles"
43,"murder, knives, murdered, annie, frances, aunt, reclusive, fans, knoll, thursday"
44,"ethan, prank, billy, disappearance, hemlock, haunting, secrets, tent, worst, marsh"
45,"molly, grimthorpe, detective, maid, murder, departed, hotel, demise, lily, serena"
46,"novel, sisterhood, suspects, sisters, tale, murder, secrets, sally, elusive, fairchild"
47,"mctavish, mctavishes, estate, ruby, kenmore, woodward, house, kidnapping, camden, tavistock"
48,"thriller, suspense, maggie, szatowski, secluded, aidan, hidden, frank, delves, wedding"
49,"nora, laura, suspense, liam, night, heartbreaking, hotel, lost, estranged, heft"
50,"ellie, detective, vanished, calhoun, endings, chelsey, reappearance, thriller, feminist, jean"
51,"naomi, maya, reunion, sister, belong, college, secret, keeping, death, far"
52,"stella, custody, barclay, parent, nanny, hudson, attorney, inside, uncovering, gilded"
53,"jac, faye, jacinda, manor, sheriff, brook, brodie, whispers, buried, haven"
54,"daphne, novel, stranded, emily, miles, scruffy, ballads, petra, shimmering, solace"
55,"vampyre, vampyres, werewolf, misery, alliances, lark, council, bride, romance, alpha"
56,"lark, soulmate, sunshine, lachlan, songbird, princess, montague, assassin, kane, glitter"
57,"kennedy, isaiah, kennedyi, vegas, rhodes, married, flirted, warriors, kay, leaving"
58,"sloane, xavier, ambitious, castillo, heir, billionaire, persona, kensington, unless, infuriate"
59,"rosie, rose, sparring, ford, parenting, kind, foreplay, hill, verbal, sister"
60,"cinnamon, buns, romance, hazel, mystery, spice, bestseller, bookstore, attract, café"
61,"heirs, divorce, spouse, marrying, penny, inheritance, wealth, anna, liam, weston"
62,"lucy, escape, vacationing, felix, bridget, island, temptation, fortune, oysters, wedding"
63,"bisexual, theo, estranged, wine, tour, breakup, lovers, exes, restaurants, transatlantic"
64,"novel, book, writer, turner, henry, tutor, reading, bestselling, professor, halle"
65,"screenwriter, emma, writing, write, fiction, yates, rewriting, comedies, script, lifetime"
66,"trabajado, como, motivos, conseguido, ciencia, económica, este, atracción, destruirlo, empresas"
67,"soledad, trust, barnes, betrayal, goddess, daughters, disillusion, refuses, forever, vinaigrette"
68,"ada, ryder, wes, weston, cowboy, woman, ranch, wyoming, finds, career"
69,"romantic, epic, romance, ricki, bloom, enchanted, roses, wilde, drama, passionate"
70,"novels, helen, writers, writer, author, screenwriter, ending, book, shepard, grant"
71,"delphie, afterlife, soulmate, thinking, die, meets, magic, reconnect, luck, door"
72,"leung, rufus, heiress, affair, billionaire, greshambury, martha, gresham, solène, courcy"
73,"midgard, sky, sequel, athalar, book, stranded, house, hunt, breathtaking, sarah"
74,"evie, villain, kingsley, rennedawn, ominous, treason, evil, overlord, boss, dagger"
75,"fae, saeris, secrets, realms, sword, myth, kingfisher, fane, undying, powers"
76,"dragon, dragons, fantasy, raven, author, brimstone, quest, prisoner, ride, raeve"
77,"spellbooks, spellshop, spells, bakery, magic, cottage, magically, librarian, lush, kiela"
78,"freya, shield, maiden, goddess, norse, kingdom, warrior, fierce, destiny, oath"
79,"ophelia, phantasma, attraction, deadly, fears, contestants, overwhelm, challenges, maze, return"
80,"destiny, fate, kingdom, fae, legion, princesses, dawns, orphans, victorious, sword"
81,"sera, nyktos, prophecy, fates, obsession, gods, desires, realms, bloodline, soul"
