,description
0,"wedding, bride, phoebe, cover, alison, dress, rhode, oyster, cornwall, weekend"
1,"grieving, grief, bereavement, family, love, life, relationship, margaret, ivan, loner"
2,"sibling, family, sister, bonnie, estranged, avery, eldest, grief, nicky, apartment"
3,"future, fate, flight, passenger, bride, moriarty, certainty, modern, jane, humorously"
4,"nantucket, island, yacht, finale, beach, cliché, queen, glittering, flashy, sharon"
5,"andy, jen, dolly, heartbreak, romantic, loved, ending, homewaiting, relationship, adrift"
6,"coworkers, colleague, coworker, worker, office, grievance, admin, incompetent, comedy, irritating"
7,"margo, cash, wrestler, millet, hooter, motherhood, waitress, heroine, unemployed, enrolls"
8,"poet, martyr, painter, artist, cyrus, orphaned, death, sober, father, inspire"
9,"massacre, pulitzer, wounded, trauma, survivor, legacy, prison, tommy, hemingway, bloodline"
10,"lily, generation, rachel, nick, raised, journey, family, american, chen, real"
11,"beloved, melancholy, rocky, summer, vacation, life, moving, decade, family, secret"
12,"woman, artist, romantic, thrillingly, sexual, miranda, delight, comic, transcends, journey"
13,"atoll, oceanic, adventure, island, exploration, literature, lost, elite, pool, humanity"
14,"julia, novelist, intergenerational, teenaged, generation, relationship, resurgence, exploring, impending, ames"
15,"argus, dakota, prairie, poe, wrecker, gary, river, everchanging, starkly, goth"
16,"greta, sibling, sister, family, queerness, irresistible, māori, buenos, drama, bighearted"
17,"hollywood, jane, comedy, cover, painter, meet, alternative, sabbatical, appropriation, biracial"
18,"nightingale, heroine, nursing, kristin, veteran, hannah, richly, vietnam, forgotten, frankie"
19,"literature, literary, huckleberry, adventure, finn, james, jim, raft, reimagining, publishing"
20,"martha, diary, midwife, justice, heroine, trial, mystery, ballard, unfolds, river"
21,"feminism, activism, ellie, tehran, turmoil, kamali, courage, meaningful, bourgeois, portrait"
22,"shakespeare, playwright, theatre, elizabethan, melina, mistress, emilia, pseudonym, woman, ambition"
23,"widow, nora, haunting, mccarthy, house, boardinghouse, daughter, bea, friendship, picket"
24,"mallory, hannah, adoption, orphanage, longing, heartbreak, mother, songwriter, donor, airlifted"
25,"actress, heroine, cast, film, woman, vera, hollywood, salome, princess, fame"
26,"river, thames, gilgamesh, booker, reign, mesopotamia, poem, fate, orphaned, arthur"
27,"wife, husband, larry, beverly, cheating, win, hilarious, campaign, dream, secretary"
28,"heroine, york, beloved, island, lacey, rekindles, longing, unfulfilled, office, tony"
29,"stella, reichl, ruth, fashion, paris, brasserie, novelstella, jules, oyster, frugally"
30,"possibilidade, panamá, construção, humanidade, revoltado, como, desesperadamente, entregaram, permita, canal"
31,"irving, potion, esther, beginning, teenager, aunt, pharmacy, augusta, adrift, healer"
32,"malaya, malayan, wwii, japanese, eldest, family, espionage, cecily, cover, housewife"
33,"gemma, chinatown, chang, janie, kate, soprano, turmoil, fortune, glittering, quest"
34,"summer, camp, teenager, vanished, daughter, bunk, barbara, discovers, family, unfolds"
35,"evie, picket, cover, porter, ryan, sumner, bos, town, challenge, girl"
36,"murder, bloodiest, handsome, sydney, victim, shaw, passion, doctor, dating, perfect"
37,"scandal, housemaid, mind, thriller, affair, mcfadden, teacher, freida, twisting, nate"
38,"thriller, ending, frazier, tragedy, york, wake, love, heartache, obsession, decade"
39,"lucy, podcast, murdered, truth, crime, social, ben, night, town, savvy"
40,"detective, murder, steve, amy, wheeler, adventure, favorite, breakneck, quiz, routine"
41,"reunite, estranged, sibling, parent, beth, youngest, nicole, estate, nostalgia, grave"
42,"secret, cottage, party, manor, guest, festivity, kitchen, cocktail, murder, midnight"
43,"murder, crime, aunt, fate, annie, knife, france, club, mystery, decade"
44,"billy, ethan, neighborhood, thriller, realizes, disappearance, jaw, childhood, night, occurrence"
45,"molly, grimthorpe, maid, detective, buried, hotel, mansion, lily, pristine, unlocking"
46,"sisterhood, murder, sally, jessica, secret, miss, family, spotlight, fairchild, witness"
47,"mctavish, mctavishes, estate, ruby, estranged, heiress, kenmore, callahan, widow, woodward"
48,"maggie, thriller, wedding, suspense, secluded, father, breathtaking, frank, modern, estate"
49,"nora, father, family, liam, estranged, laura, oprah, magnate, hotel, suspense"
50,"ellie, detective, vanished, reappearance, calhoun, chelsey, searching, ending, girl, hope"
51,"maya, belong, naomi, reunion, sister, attending, college, nightmare, secret, happened"
52,"nanny, family, custody, parent, stella, grandmother, childhood, house, uncovering, barclay"
