,description
0,alternate cover propulsive uncommonly wise one unexpected wedding guest surprising people help start anew beautiful day newport rhode island phoebe stone arrives grand cornwall inn wearing green dress gold heel bag sight alone immediately mistaken everyone lobby one wedding people actually guest cornwall big event phoebe dreamed coming year hoped shuck oyster take sunset sail husband without rock bottom determined one last decadent splurge meanwhile bride accounted every detail every possible disaster weekend might yield except well phoebe phoebe plan make much surprising two woman stop confiding turn absurdly funny devastatingly tender alison espach wedding people ultimately incredibly nuanced resonant look winding path take place never imagined chance encounter sometimes take reroute
1,exquisitely moving story grief love family especially love global phenomenon sally rooney aside fact brother peter ivan koubek seem little common peter dublin lawyer thirty successful competent apparently unassailable wake father death medicating sleep struggling manage relationship two different woman enduring first love sylvia naomi college student life one long joke ivan twenty two year old competitive chess player always seen socially awkward loner antithesis glib elder brother early week bereavement ivan meet margaret older woman emerging turbulent past life become rapidly intensely intertwined two grieving brother people love new interlude period desire despair possibility chance find much one life might hold inside without breaking
2,three estranged sibling return family home new york beloved sister death unforgettable story grief identity complexity family three blue sister exceptional exceptionally different avery eldest recovering heroin addict turned strait laced lawyer life wife london bonnie former boxer work bouncer los angeles following devastating defeat lucky youngest model paris trying outrun hard partying way also fourth sister nicky whose unexpected death left avery bonnie lucky reeling year later navigate grief addiction ambition find must return new york stop sale apartment raised coming home never easy seems sister reckon disappointment childhood loss person held together realize greatest secret keeping might
3,knew future would try fight fate aside delay problem flight smooth land safely everyone get plane get almost forever changed ordinary short domestic flight something extraordinary happens people learn going die death far future age laugh six passenger predicted death far away know ostensibly interesting people flight bride groom jittery possibly famous woman giant hemsworth esque guy look like duty superhero frazzled gorgeous flight attendant none would become famous death lady single passenger crew member later recall noticing board plane exceptionally old young rude polite drunk nervous pregnant appearance demeanor unremarkable flight truly remarkable month later one passenger dy exactly predicted two passenger die said would soon one thinking simply entertaining story cocktail party told certain amount time left live would thing differently would try dodge destiny liane moriarty one moment brilliantly constructed tale look free destiny grief love endless struggle maintain certainty control uncertain world modern day jane austen humorously skewer social more spinning web mystery moriarty asks profound question wait find happens
4,grand finale queen beach elin hilderbrand beloved nantucket new couple town instantly shake thing amid extravagant party land sea trouble island forcing chief police kapanesh postpone retirement changing fabric life picturesque island forever thirty five year serving chief police island nantucket kapenash heart longer take stress plan retire thwarted three day left serve receives phone call million dollar summer home recently purchased flashy new couple town richardson burned ground richardson far hurt fact water throwing lavish party yacht news fire reach discover personal assistant vanished chief well acquainted richardson daughter best friend missing girl leaving choice postpone retirement take double case small island like nantucket richardson shook thing second stepped scene throwing luxurious party whatever could gain admittance coveted lunch field oar club increasing desperation instantly captured attention local real estate agent fast eddie town gossip blond sharon dealing personal drama blond sharon going divorce order avoid becoming cliché enrolled creative class putting natural affinity scandal towards noble purpose solve case fire track daughter best friend chief string together piece life character rallying strength final act service tight knit community know love last elin hilderbrand nantucket swan song propulsive medley glittering gathering sun soaked drama wisdom heart featuring return beloved character including importantly beautiful timeless island nantucket
5,andy love jen jen loved andy work stopped without homewaiting stand career take offwondering everyone else around seems grown lookingset adrift sea heartbreak andy cling idea solving puzzle ruined relationship find answer maybe jen find way back andy still lot learn least girlfriend side story sharply funny exquisitely relatable story romantic disaster friendship dolly alderton offer love story two ending demonstrating one exciting today true voice generation
6,wildly funny heartwarming office comedy admin worker accidentally gain access colleague private email dm decides use intel save job laugh till cry debut eager share entire list contact perfect fan anxious people eleanor oliphant completely fine far jolene concerned interaction colleague start end official duty admin supershops inc unfortunately irritating incompetent coworkers seem understand importance boundary secret survival vent grievance petty email postscript change text colour white one see one secret message exposed punishment sensitivity training led suspiciously friendly guy cliff rigorous email restriction mix grant access entire department private email dm jolene know report could resist coworkers really saying discovers layoff coming realizes might key saving job plan simple gain bos favour convince supershops material beat competition jolene drawn coworker private world secret carefully constructed wall begin crumble especially around cliff definitely cannot feeling soon need decide ready leave comfort cubicle even mean coming clean colleague crackling laugh loud dialogue relatable observation hope find well fresh surprisingly tender comedy loneliness love beyond computer screen sparkling debut open heart everyday eccentricity work culture undeniable human connection come
7,margo got money trouble feel good need right washington post enormously entertaining lovable nick hornby new york time bold laugh loud funny heartwarming story one young woman attempt navigate adulthood new motherhood meager bank account increasingly online world pen faulkner finalist critically acclaimed knockout queen child hooter waitress pro wrestler margo millet always known make enrolls local junior college even though imagine ever make living still figuring thing never planned affair english professor affair brief brief enough keep getting pregnant despite everyone advice decides keep baby mostly naiveté yearning something bigger twenty margo alone infant unemployed verge eviction need cash infusion fast estranged father jinx show doorstep asks move agrees exchange help childcare margo begin form plan start onlyfans experiment soon find adapting jinx advice world wrestling like craft compelling character make audience fall love know turned runaway success could answer margo problem internet fame come high price blisteringly funny filled sharp insight margo got money trouble tender tale starring endearing young heroine struggling wrest money power world little interest giving playful honest examination art storytelling controlling narrative empowering portrait coming online wholly original thorpe poetic profound way brings remarkable story end associated press
8,newly sober orphaned son iranian immigrant guided voice artist poet king embarks remarkable search family secret lead terminally ill painter living final day brooklyn museum electrifying funny wholly original martyr herald arrival essential new voice contemporary fiction cyrus sham young man grappling inheritance violence loss mother plane shot sky persian gulf senseless accident father life america circumscribed work killing chicken factory farm midwest cyrus drunk addict poet whose obsession martyr lead examine mystery past toward uncle rode iranian battlefield dressed angel death inspire comfort dying toward mother painting discovered brooklyn art gallery suggests may seemed kaveh akbar martyr paean spend life seeking meaning faith art others
9,eagerly awaited follow pulitzer prize finalist tommy orange breakout best seller winner pen hemingway award john leonard prize american award one new york time best wandering star trace legacy sand creek massacre carlisle indian industrial school shattering aftermath orvil red feather shooting colorado star young survivor sand creek massacre brought fort marion prison castle forced learn english practice christianity richard henry pratt evangelical prison guard found carlisle indian industrial school institution dedicated eradication native history culture identity generation later star son charles sent school brutalized man father jailer pratt harsh treatment charles cling moment share young fellow student opal viola two envision future away institutional violence follows bloodline oakland opal viola victoria bear shield barely holding family together shooting nearly took life nephew orvil moment awakens hospital bed orvil begin compulsively googling school shooting youtube also becomes emotionally reliant prescription medication meant ease physical trauma younger brother lony suffering ptsd struggling make sense carnage witnessed shooting secretly cutting enacting blood ritual hope connect cheyenne heritage opal equally adrift experimenting ceremony peyote searching way heal wounded family extending constellation narrative past future tommy orange delivers story turn shattering wondrous piercing poetry sorrow rage masterful follow already classic first devastating indictment america war people
