"category","genres","votes","title","description","author_name","author_about","avatar_url","pages","rating","num_ratings","num_reviews","publication_info","img_url","book_url","ratings_hist","want_to_read_num","current_read_num"
"Fiction","['Fiction', 'Dystopia', 'Science Fiction', 'Feminism', 'Audiobook', 'Classics', 'Book Club']","98291","The Testaments","When the van door slammed on Offred's future at the end of The Handmaid's Tale, readers had no way of telling what lay ahead for her--freedom, prison or death.With The Testaments, the wait is over.Margaret Atwood's sequel picks up the story more than fifteen years after Offred stepped into the unknown, with the explosive testaments of three female narrators from Gilead.In this brilliant sequel to The Handmaid's Tale, acclaimed author Margaret Atwood answers the questions that have tantalized readers for decades.""Dear Readers: Everything you've ever asked me about Gilead and its inner workings is the inspiration for this book. Well, almost everything! The other inspiration is the world we've been living in."" --Margaret AtwoodAn alternate cover edition of ISBN 978-0385543781 can be found here.","Margaret Atwood","Margaret Atwood was born in 1939 in Ottawa and grew up in northern Ontario, Quebec, and Toronto. She received her undergraduate degree from Victoria College at the University of Toronto and her master's degree from Radcliffe College.Throughout her writing career, Margaret Atwood has received numerous awards and honourary degrees. She is the author of more than thirty-five volumes of poetry, children’s literature, fiction, and non-fiction and is perhaps best known for her novels, which include The Edible Woman (1970), The Handmaid's Tale (1983), The Robber Bride (1994), Alias Grace (1996), and The Blind Assassin, which won the prestigious Booker Prize in 2000. Atwood's dystopic novel, Oryx and Crake, was published in 2003. The Tent (mini-fictions) and Moral Disorder (short stories) both appeared in 2006. Her most recent volume of poetry, The Door, was published in 2007. Her non-fiction book, Payback: Debt and the Shadow Side of Wealth ­ in the Massey series, appeared in 2008, and her most recent novel, The Year of the Flood, in the autumn of 2009. Ms. Atwood's work has been published in more than forty languages, including Farsi, Japanese, Turkish, Finnish, Korean, Icelandic and Estonian. In 2004 she co-invented the Long Pen TM.Margaret Atwood currently lives in Toronto with writer Graeme Gibson. Associations: Margaret Atwood was President of the Writers' Union of Canada from May 1981 to May 1982, and was President of International P.E.N., Canadian Centre (English Speaking) from 1984-1986. She and Graeme Gibson are the Joint Honourary Presidents of the Rare Bird Society within BirdLife International. Ms. Atwood is also a current Vice-President of PEN International.","/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1282859073i%2F3472._UX200_CR0%2C31%2C200%2C200_.jpg&w=256&q=75","422","4.20","387454","34058","September 10, 2019","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549292344l/42975172.jpg","https://www.goodreads.com/book/show/42975172-the-testaments?from_choice=true","['164,710 (42%)', '150,475 (38%)', '58,102 (14%)', '11,549 (2%)', '2,618 (<1%)']","389952","29797"
"Fiction","['Fiction', 'Romance', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Book Club', 'Ireland']","40081","Normal People","At school Connell and Marianne pretend not to know each other. He’s popular and well-adjusted, star of the school soccer team while she is lonely, proud, and intensely private. But when Connell comes to pick his mother up from her housekeeping job at Marianne’s house, a strange and indelible connection grows between the two teenagers - one they are determined to conceal.A year later, they’re both studying at Trinity College in Dublin. Marianne has found her feet in a new social world while Connell hangs at the sidelines, shy and uncertain. Throughout their years in college, Marianne and Connell circle one another, straying toward other people and possibilities but always magnetically, irresistibly drawn back together. Then, as she veers into self-destruction and he begins to search for meaning elsewhere, each must confront how far they are willing to go to save the other.Sally Rooney brings her brilliant psychological acuity and perfectly spare prose to a story that explores the subtleties of class, the electricity of first love, and the complex entanglements of family and friendship.","Sally Rooney","Sally Rooney was born in 1991 and lives in Dublin, where she graduated from Trinity College. Her work has appeared in Granta, The Dublin Review, The White Review, The Stinging Fly, and the Winter Pages anthology.","/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1534007127i%2F15860970._UY200_CR46%2C0%2C200%2C200_.jpg&w=256&q=75","273","3.81","1706423","171672","August 28, 2018","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571423190l/41057294._SY475_.jpg","https://www.goodreads.com/book/show/41057294-normal-people?from_choice=true","['518,059 (30%)', '593,265 (34%)', '398,911 (23%)', '145,944 (8%)', '50,244 (2%)']","1201125","72661"
"Fiction","['Fiction', 'Book Club', 'Contemporary', 'Mystery', 'Romance', 'Fantasy', 'Magical Realism']","29342","Where the Forest Meets the Stars","In this gorgeously stunning debut, a mysterious child teaches two strangers how to love and trust again.After the loss of her mother and her own battle with breast cancer, Joanna Teale returns to her graduate research on nesting birds in rural Illinois, determined to prove that her recent hardships have not broken her. She throws herself into her work from dusk to dawn, until her solitary routine is disrupted by the appearance of a mysterious child who shows up at her cabin barefoot and covered in bruises.The girl calls herself Ursa, and she claims to have been sent from the stars to witness five miracles. With concerns about the child’s home situation, Jo reluctantly agrees to let her stay―just until she learns more about Ursa’s past.Jo enlists the help of her reclusive neighbor, Gabriel Nash, to solve the mystery of the charming child. But the more time they spend together, the more questions they have. How does a young girl not only read but understand Shakespeare? Why do good things keep happening in her presence? And why aren’t Jo and Gabe checking the missing children’s website anymore?Though the three have formed an incredible bond, they know difficult choices must be made. As the summer nears an end and Ursa gets closer to her fifth miracle, her dangerous past closes in. When it finally catches up to them, all of their painful secrets will be forced into the open, and their fates will be left to the stars.","Glendy Vanderah","","/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fnophoto%2Fuser%2Fu_700x933.png&w=256&q=75","332","4.13","220360","18572","March 1, 2019","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1543428712l/40545956._SY475_.jpg","https://www.goodreads.com/book/show/40545956-where-the-forest-meets-the-stars?from_choice=true","['89,593 (40%)', '84,195 (38%)', '35,974 (16%)', '7,847 (3%)', '2,751 (1%)']","253975","47165"
"Fiction","['Fiction', 'Book Club', 'Contemporary', 'Audiobook', 'Literary Fiction', 'Adult', 'Family']","26653","Ask Again, Yes","Francis Gleeson and Brian Stanhope, two rookie cops in the NYPD, live next door to each other outside the city. What happens behind closed doors in both houses—the loneliness of Francis's wife, Lena, and the instability of Brian's wife, Anne—sets the stage for explosive events to come. Ask Again, Yes is a moving novel about two families, the bond between their children, a tragedy that reverberates over four decades, the daily intimacies of marriage, and the power of forgiveness.","Mary Beth Keane","Mary Beth Keane attended Barnard College and the University of Virginia, where she received an MFA. She was awarded a John S. Guggenheim fellowship for fiction writing, and has received citations from the National Book Foundation, PEN America, and the Hemingway Society. She is the author of The Walking People, Fever, and Ask Again, Yes, which was a New York Times Best Seller and was translated into twenty-two languages. Her new novel, The Half Moon, is forthcoming May 2, 2023.","/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1667771978i%2F2776754._UX200_CR0%2C56%2C200%2C200_.jpg&w=256&q=75","388","3.93","200525","17367","May 28, 2019","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557052821l/42201996.jpg","https://www.goodreads.com/book/show/42201996-ask-again-yes?from_choice=true","['50,359 (25%)', '96,381 (48%)', '45,173 (22%)', '7,167 (3%)', '1,445 (<1%)']","243997","15222"
"Fiction","['Fiction', 'Contemporary', 'Audiobook', 'Book Club', 'Mental Health', 'Adult', 'Feminism']","21524","Queenie","Bridget Jones’s Diary meets Americanah in this disarmingly honest, boldly political, and truly inclusive novel that will speak to anyone who has gone looking for love and found something very different in its place.Queenie Jenkins is a 25-year-old Jamaican British woman living in London, straddling two cultures and slotting neatly into neither. She works at a national newspaper, where she’s constantly forced to compare herself to her white middle class peers. After a messy break up from her long-term white boyfriend, Queenie seeks comfort in all the wrong places…including several hazardous men who do a good job of occupying brain space and a bad job of affirming self-worth.As Queenie careens from one questionable decision to another, she finds herself wondering, “What are you doing? Why are you doing it? Who do you want to be?”—all of the questions today’s woman must face in a world trying to answer them for her..","Candice Carty-Williams","Candice Carty-Williams was born in 1989, the result of an affair between a Jamaican cab driver who barely speaks and a Jamaican-Indian dyslexic receptionist who speaks more than anyone else in the world. She studied Media at Sussex because her sixth form teachers said that she wasn’t clever enough to do English, but she showed them all by first working at the Guardian Guide and then moving into publishing at 23.Carty-Williams has worked on marketing literary fiction, non-fiction and graphic novels ever since; her first highlight was interviewing David Cronenberg and telling him that if she were a white man she’d like to look like him. In response he called her a ‘delightful person’. In 2016, she created and launched the Guardian and 4th Estate BAME Short Story Prize, a prize that aims to find, champion and celebrate black, Asian and minority ethnic writers. She also contributes regularly to Refinery29 and i-D.","/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1548974355i%2F17323922._UX200_CR0%2C0%2C200%2C200_.jpg&w=256&q=75","330","3.85","153411","14650","March 19, 2019","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1550417694l/40539165._SY475_.jpg","https://www.goodreads.com/book/show/40539165-queenie?from_choice=true","['38,734 (25%)', '65,802 (42%)', '38,403 (25%)', '8,348 (5%)', '2,124 (1%)']","194084","5558"
"Fiction","['Fiction', 'Poetry', 'LGBT', 'Contemporary', 'Queer', 'Literary Fiction', 'Book Club']","21177","On Earth We're Briefly Gorgeous","On Earth We're Briefly Gorgeous is a letter from a son to a mother who cannot read. Written when the speaker, Little Dog, is in his late twenties, the letter unearths a family's history that began before he was born — a history whose epicenter is rooted in Vietnam — and serves as a doorway into parts of his life his mother has never known, all of it leading to an unforgettable revelation. At once a witness to the fraught yet undeniable love between a single mother and her son, it is also a brutally honest exploration of race, class, and masculinity. Asking questions central to our American moment, immersed as we are in addiction, violence, and trauma, but undergirded by compassion and tenderness, On Earth We're Briefly Gorgeous is as much about the power of telling one's own story as it is about the obliterating silence of not being heard.With stunning urgency and grace, Ocean Vuong writes of people caught between disparate worlds, and asks how we heal and rescue one another without forsaking who we are. The question of how to survive, and how to make of it a kind of joy, powers the most important debut novel of many years.","Ocean Vuong","Ocean Vuong is the author of the critically acclaimed poetry collections Night Sky with Exit Wounds and Time is a Mother, as well as the New York Times bestselling novel On Earth We’re Briefly Gorgeous. A recipient of the American Book Award and the MacArthur “Genius Grant,"" he has also worked as a line cook, tobacco harvester, nursing home volunteer, and fast-food server, the latter becoming inspiration for The Emperor of Gladness. Born in Saigon, Vietnam, he currently splits his time between Northampton, Massachusetts and New York City.","/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1728576900i%2F4456871._UX200_CR0%2C13%2C200%2C200_.jpg&w=256&q=75","246","4.03","361791","50119","June 4, 2019","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615580168l/41880609._SY475_.jpg","https://www.goodreads.com/book/show/41880609-on-earth-we-re-briefly-gorgeous?from_choice=true","['136,232 (37%)', '129,919 (35%)', '70,027 (19%)', '20,338 (5%)', '5,275 (1%)']","688609","38729"
"Fiction","['Fiction', 'Book Club', 'Historical Fiction', 'Contemporary', 'Audiobook', 'Feminism', 'Literary Fiction']","20211","A Woman Is No Man","This debut novel by a Palestinian-American voice takes us inside the lives of a conservative Arab family living in America. In Brooklyn, eighteen-year-old Deya is starting to meet with suitors. Though she doesn’t want to get married, her grandparents give her no choice. History is repeating itself: Deya’s mother, Isra, also had no choice when she left Palestine as a teenager to marry Adam. Though Deya was raised to believe her parents died in a car accident, a secret note from a mysterious, yet familiar-looking woman makes Deya question everything she was told about her past. As the narrative alternates between the lives of Deya and Isra, she begins to understand the dark, complex secrets behind her community.","Etaf Rum","","/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1541946265i%2F16458196._UX200_CR0%2C40%2C200%2C200_.jpg&w=256&q=75","339","4.26","166093","18455","March 5, 2019","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1533072101l/34313931.jpg","https://www.goodreads.com/book/show/34313931-a-woman-is-no-man?from_choice=true","['74,293 (44%)', '65,988 (39%)', '21,073 (12%)', '3,814 (2%)', '925 (<1%)']","232791","9343"
"Fiction","['Fiction', 'Romance', 'Chick Lit', 'Contemporary', 'Book Club', 'Audiobook', 'Adult']","15892","The Overdue Life of Amy Byler","Overworked and underappreciated, single mom Amy Byler needs a break. So when the guilt-ridden husband who abandoned her shows up and offers to take care of their kids for the summer, she accepts his offer and escapes rural Pennsylvania for New York City.Usually grounded and mild mannered, Amy finally lets her hair down in the city that never sleeps. She discovers a life filled with culture, sophistication, and—with a little encouragement from her friends—a few blind dates. When one man in particular makes quick work of Amy’s heart, she risks losing herself completely in the unexpected escape, and as the summer comes to an end, Amy realizes too late that she must make an impossible decision: stay in this exciting new chapter of her life, or return to the life she left behind.But before she can choose, a crisis forces the two worlds together, and Amy must stare down a future where she could lose both sides of herself, and every dream she’s ever nurtured, in the beat of a heart.","Kelly Harms","USA Today, Washington Post and Amazon Charts bestseller Kelly Harms is the author of The Bright Side of Going Dark, The Overdue Life of Amy Byler, The Good Luck Girls of Shipwreck Lane and The Matchmakers of Minnow Bay. She worked with bestselling authors, Edgar, RITA, and Agatha award winners, and Indie Next List Picks in her time as an editor at a division of HarperCollins and later as an agent at the Jane Rotrosen Agency. She now lives in Madison, Wisconsin with her beloved family.","/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1589030081i%2F6539545._UY200_CR33%2C0%2C200%2C200_.jpg&w=256&q=75","332","3.84","98874","8924","May 1, 2019","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1550089762l/41723456.jpg","https://www.goodreads.com/book/show/41723456-the-overdue-life-of-amy-byler?from_choice=true","['25,670 (25%)', '40,661 (41%)', '25,441 (25%)', '5,379 (5%)', '1,723 (1%)']","99615","27850"
"Fiction","['Fiction', 'Short Stories', 'Book Club', 'Audiobook', 'Literary Fiction', 'Contemporary', 'Novels']","15767","Olive, Again","Prickly, wry, resistant to change yet ruthlessly honest and deeply empathetic, Olive Kitteridge is “a compelling life force” (San Francisco Chronicle). The New Yorker has said that Elizabeth Strout “animates the ordinary with an astonishing force,” and she has never done so more clearly than in these pages, where the iconic Olive struggles to understand not only herself and her own life but the lives of those around her in the town of Crosby, Maine. Whether with a teenager coming to terms with the loss of her father, a young woman about to give birth during a hilariously inopportune moment, a nurse who confesses a secret high school crush, or a lawyer who struggles with an inheritance she does not want to accept, the unforgettable Olive will continue to startle us, to move us, and to inspire us—in Strout’s words—“to bear the burden of the mystery with as much grace as we can.”","Elizabeth Strout","Elizabeth Strout is the author of several novels, including: Abide with Me, a national bestseller and BookSense pick, and Amy and Isabelle, which won the Los Angeles Times Art Seidenbaum Award for First Fiction and the Chicago Tribune Heartland Prize, and was a finalist for the PEN/Faulkner Award and the Orange Prize in England. In 2009 she was awarded the Pulitzer Prize for her book Olive Kitteridge. Her short stories have been published in a number of magazines, including The New Yorker. She teaches at the Master of Fine Arts program at Queens University of Charlotte.","/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1361387789i%2F97313._UX200_CR0%2C49%2C200%2C200_.jpg&w=256&q=75","289","4.12","105345","10974","October 15, 2019","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576676858l/43984883._SY475_.jpg","https://www.goodreads.com/book/show/43984883-olive-again?from_choice=true","['41,251 (39%)', '41,846 (39%)', '17,117 (16%)', '3,887 (3%)', '1,244 (1%)']","116617","14283"
"Fiction","['Fiction', 'Book Club', 'Contemporary', 'Audiobook', 'Literary Fiction', 'Family', 'Adult Fiction']","12291","The Most Fun We Ever Had","A multigenerational novel in which the four adult daughters of a Chicago couple--still madly in love after forty years--recklessly ignite old rivalries until a long-buried secret threatens to shatter the lives they've built.When Marilyn Connolly and David Sorenson fall in love in the 1970s, they are blithely ignorant of all that's to come. By 2016, their four radically different daughters are each in a state of unrest: Wendy, widowed young, soothes herself with booze and younger men; Violet, a litigator-turned-stay-at-home-mom, battles anxiety and self-doubt when the darkest part of her past resurfaces; Liza, a neurotic and newly tenured professor, finds herself pregnant with a baby she's not sure she wants by a man she's not sure she loves; and Grace, the dawdling youngest daughter, begins living a lie that no one in her family even suspects. Above it all, the daughters share the lingering fear that they will never find a love quite like their parents'.As the novel moves through the tumultuous year following the arrival of Jonah Bendt--given up by one of the daughters in a closed adoption fifteen years before--we are shown the rich and varied tapestry of the Sorensons' past: years marred by adolescence, infidelity, and resentment, but also the transcendent moments of joy that make everything else worthwhile.","Claire Lombardo","CLAIRE LOMBARDO earned her MFA in fiction at the Iowa Writers' Workshop. She was born and raised in Oak Park, Illinois, and spent several years doing social work in Chicago. ","/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1547578024i%2F17574140._UX200_CR0%2C51%2C200%2C200_.jpg&w=256&q=75","532","3.91","126848","12740","June 25, 2019","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559679977l/41880044.jpg","https://www.goodreads.com/book/show/41880044-the-most-fun-we-ever-had?from_choice=true","['35,850 (28%)', '54,091 (42%)', '28,510 (22%)', '6,429 (5%)', '1,968 (1%)']","232406","17006"
