Title,Author,Rating,User_id,isbn,num_ratings,avg_rating,num_pages,review,date_started,date_read,date_added,format,date_pub_edition
The Sustainable Economy: The Hidden Costs of Climate Change and the Path to a Prosperous Future,"Devine, Robert S",2,117995650,0307277178,52,3.96,352pp,None,not set,not set,"Jul 31, 2021",Paperback,"Oct 27, 2020"
"This Inevitable Ruin
        (Dungeon Crawler Carl #7)","Dinniman, Matt*",5,117995654,,"21,119",4.69,724pp,None,"Nov 11, 2024","Nov 11, 2024","Nov 11, 2024",Kindle Edition,"Nov 11, 2024"
"Beyond Odin’s Gate
        (Mysterious Island, #2)","Beck, Greig*",Invalid rating,117995654,,"1,444",4.34,301pp,None,"Oct 18, 2024","Oct 21, 2024","Oct 18, 2024",Kindle Edition,"Jan 04, 2023"
"Lemuria
        (Mysterious Island, #1)","Beck, Greig*",5,117995654,,"2,233",4.18,317pp,None,"Oct 15, 2024","Oct 18, 2024","Oct 15, 2024",Kindle Edition,"Jul 15, 2022"
"Stage Dive The Complete Collection
        (1-4)","Scott, Kylie*",5,117995654,1250125685,802,4.60,"1,017pp",None,not setnot set,not setnot set,"Sep 28, 2024",Kindle Edition,"Aug 09, 2016"
Crush: Southern Spark,"Long, Kat*",5,117995654,,77,4.47,326pp,None,"May 22, 2024","Jan 03, 2025","May 22, 2024",Kindle Edition,"May 22, 2024"
The Broken Protector,"Snow, Nicole*",5,117995654,,"9,846",4.10,444pp,None,not set,"Oct 17, 2023","Oct 17, 2023",Kindle Edition,"Jun 20, 2023"
"The Eye of the Bedlam Bride
        (Dungeon Crawler Carl, #6)","Dinniman, Matt*",5,117995654,,"30,613",4.67,694pp,None,"Jul 15, 2023","Oct 12, 2023","Jul 15, 2023",Kindle Edition,"Jul 02, 2023"
"Collide
        (Southern Spark #1)","Long, Kat*",5,117995654,,101,4.29,246pp,None,"Jun 14, 2023","Jun 21, 2023","Jun 14, 2023",Kindle Edition,"Jun 14, 2023"
"Boss in the Bedsheets
        (The Santillian Triplets, #2)","Canterbary, Kate*",5,117995654,,"7,347",3.97,406pp,Loved it!Great book. Really enjoy the instalove of these two! Kate delivers another fantastic book. Look forward to reading about the other two triplLoved it!Great book. Really enjoy the instalove of these two! Kate delivers another fantastic book. Look forward to reading about the other two triplets....more,Jun 2023,"Jun 04, 2023","Jun 01, 2023",Kindle Edition,"Jun 26, 2020"
"The Butcher's Masquerade
        (Dungeon Crawler Carl, #5)","Dinniman, Matt*",5,117995654,,"37,075",4.69,732pp,None,"Mar 16, 2023","Mar 20, 2023","Mar 16, 2023",Kindle Edition,"Feb 28, 2022"
"The Gate of the Feral Gods
        (Dungeon Crawler Carl, #4)","Dinniman, Matt*",5,117995654,,"42,612",4.57,586pp,None,"Mar 13, 2023","Mar 16, 2023","Mar 13, 2023",Kindle Edition,"Jul 01, 2021"
"The Dungeon Anarchist's Cookbook
        (Dungeon Crawler Carl, #3)","Dinniman, Matt*",5,117995654,,"50,704",4.48,534pp,None,"Feb 22, 2023","Mar 13, 2023","Feb 22, 2023",Kindle Edition,"Apr 02, 2021"
"Carl's Doomsday Scenario
        (Dungeon Crawler Carl, #2)","Dinniman, Matt*",5,117995654,,"60,396",4.54,364pp,None,"Feb 17, 2023","Feb 22, 2023","Feb 17, 2023",Kindle Edition,"Jan 06, 2021"
"Dungeon Crawler Carl
        (Dungeon Crawler Carl, #1)","Dinniman, Matt*",5,117995654,,"88,037",4.51,446pp,None,"Feb 15, 2023","Feb 17, 2023","Feb 15, 2023",Kindle Edition,"Oct 02, 2020"
"Draco
        (Finger Licking Monsters, #1)","Fae, Layla*",5,117995654,,"1,161",3.97,231pp,None,"Nov 30, 2022","Jan 03, 2023","Nov 30, 2022",ebook,"Jul 20, 2022"
"Jack
        (Monster Ever After #1)","Fae, Layla*",5,117995654,,"5,345",3.43,49pp,None,"Nov 19, 2022","Nov 19, 2022","Nov 19, 2022",Kindle Edition,"Oct 14, 2021"
"Praise
        (Salacious Players Club, #1)","Cate, Sara*",5,117995654,,"208,848",4.11,338pp,None,not set,"Mar 30, 2022","Mar 30, 2022",Kindle Edition,"Mar 17, 2022"
"Broody Devil
        (Nashville Devils, #3)","Ivers, Melissa*",5,117995654,,"3,368",4.12,303pp,None,not set,"Mar 28, 2022","Mar 28, 2022",ebook,"Mar 24, 2022"
"By Your Side
        (Southern Charms #2)","Long, Kat*",Invalid rating,117995654,,71,4.45,256pp,None,not set,not set,"Mar 19, 2022",ebook,"Dec 22, 2021"
"Lick
        (Stage Dive, #1)","Scott, Kylie*",5,117995654,,"92,740",4.05,321pp,None,not set,"Mar 04, 2022","Mar 04, 2022",Kindle Edition,"Nov 11, 2013"
"Scoring the Billionaire
        (Billionaire Bad Boys, #3)","Monroe, Max*",4,117995654,,"11,221",4.25,380pp,None,"Feb 24, 2022","Feb 28, 2022","Feb 24, 2022",Kindle Edition,Oct 2019
